standard,lemma,postag
THE,the,d
ISLAND,island,n1
princess,princess,n1
Actus,actus,fw-la
primus,primus,fw-la
Scaena,scaena,fw-la
prima,prima,fw-la
A,a,d
Bell,bell,n1
Rings,ring,vvz
Enter,enter,vvb
Pymero,Pymero,n1-nn
Christophero,Christopher,n1-nn
and,and,cc
Pedro,Pedro,n1-nn
Pymero.,Pymero.,n-ab
open,open,vvb
the,the,d
Ports,port,n2
and,and,cc
see,see,vvi
the,the,d
watch,watch,n1
relieved,relieve,vvd
And,and,cc
let,let,vvb
the,the,d
guards,guard,n2
be,be,vvb
careful,careful,j
of,of,acp-p
their,their,po
business,business,n1
Their,their,po
vigilant,vigilant,j
eyes,eye,n2
fixed,fix,vvn
on,on,acp-p
these,these,d
Islanders,islander,n2
They,they,pns
are,be,vvb
false,false,j
and,and,cc
desperate,desperate,j
people,people,n1
when,when,crq-cs
they,they,pns
find,find,vvb
The,the,d
least,least,d-s
occasion,occasion,n1
open,open,vvb
to,to,acp-p
encouragement,encouragement,n1
Cruel,cruel,j
and,and,cc
crafty,crafty,j
souls,soul,n2
believe,believe,vvb
me,i,pno
Gentlemen,gentleman,n2
Their,their,po
late,late,j
attempt,attempt,n1
which,which,crq-r
is,be,vvz
too,too,av
fresh,fresh,j
amongst,among,acp-p
us,we,pno
In,in,acp-p
which,which,crq-r
against,against,acp-p
all,all,d
arms,arm,n2
and,and,cc
honesty,honesty,n1
The,the,d
Governor,governor,n1
of,of,acp-p
Ternata,Ternata,n1-nn
made,make,vvd
surprise,surprise,vvi
Of,of,acp-p
our,our,po
confederate,confederate,n1_j
the,the,d
King,king,n1
of,of,acp-p
Tidore,Tidore,n1-nn
As,as,acp-cs
for,for,acp-p
his,his,po
recreation,recreation,n1
he,he,pns
was,be,vvd
rowing,row,vvg
Between,between,acp-p
both,both,d
Lands,land,n2
bids,bid,vvz
us,we,pno
be,be,vvi
wise,wise,j
and,and,cc
circumspect,circumspect,j
Chr.,Chr.,n-ab
It,it,pn
was,be,vvd
a,a,d
mischief,mischief,n1
suddenly,sudden,av_j
imagined,imagine,vvn
And,and,cc
as,as,acp-cs
soon,soon,av
done,do,vvn
that,that,d
Governor's,governor|be,n1|vvz
a,a,d
fierce,fierce,j
knave,knave,n1
Unfaithful,unfaithful,j
as,as,acp-cs
he,he,pns
is,be,vvz
fierce,fierce,j
too,too,av
there's,there|be,av|vvz
no,no,d-x
trusting,trust,n1_vg
But,but,acp-cc
I,I,pns
wonder,wonder,vvb
much,much,d
how,how,crq-q
such,such,d
poor,poor,j
and,and,cc
base,base,j
pleasures,pleasure,n2
As,as,acp-cs
tugging,tug,vvg
at,at,acp-p
an,a,d
oar,oar,n1
or,or,cc
skill,skill,n1
in,in,acp-p
steerage,steerage,n1
Should,shall,vmd
become,become,vvi
Princes,prince,n2
Py.,Py.,n-ab
Base,base,j
breeding,breed,j_vg
love,love,n1
base,base,j
pleasure,pleasure,n1
They,they,pns
take,take,vvb
as,as,acp-p
much,much,d
delight,delight,n1
in,in,acp-p
a,a,d
Baratto,Baratto,n1-nn
A,a,d
little,little,j
scurvy,scurvy,j
boat,boat,n1
to,to,acp-cs
row,row,vvi
her,she,pno
tithly,tith,av_j
And,and,cc
have,have,vvb
the,the,d
art,art,n1
to,to,acp-cs
turn,turn,vvi
and,and,cc
wind,wind,vvi
her,she,pno
nimbly,nimble,av_j
Think,think,vvb
it,it,pn
as,as,acp-p
noble,noble,j
too,too,av
though,though,cs
it,it,pn
be,be,vvb
slavish,slavish,j
And,and,cc
a,a,d
dull,dull,j
labour,labour,n1
that,that,cs
declines,decline,vvz
a,a,d
Gentleman,gentleman,n1
As,as,acp-cs
we,we,pns
Portugalls,portugall,n2-nn
or,or,cc
the,the,d
Spaniards,Spaniard,n2-nn
do,do,vvb
in,in,acp-p
riding,ride,vvg
In,in,acp-p
managing,manage,vvg
a,a,d
great,great,j
horse,horse,n1
which,which,crq-r
is,be,vvz
princely,princely,j
The,the,d
French,french,j-nn
in,in,acp-p
Courtship,courtship,n1
or,or,cc
the,the,d
dancing,dance,j_vg
English,english,j-nn
In,in,acp-p
carrying,carry,vvg
a,a,d
fair,fair,j
presence,presence,n1
Ped.,Ped.,n-ab
He,he,pns
was,be,vvd
strangely,strange,av_j
taken,take,vvn
But,but,acp-cc
where,where,crq-cs
no,no,d-x
faith,faith,n1
is,be,vvz
there's,there|be,av|vvz
no,no,d-x
trust,trust,n1
he,he,pns
has,have,vvz
paid,pay,vvn
for't,for|it,acp-p|pn
His,his,po
sister,sister,n1
yet,yet,av
the,the,d
fair,fair,j
and,and,cc
great,great,j
Quisara,Quisara,n1-nn
Has,have,vvz
showed,show,vvn
a,a,d
noble,noble,j
mind,mind,n1
and,and,cc
much,much,d
love,love,n1
in't,in|it,acp-p|pn
To,to,acp-p
her,her,po
afflicted,afflict,j_vn
brother,brother,n1
and,and,cc
the,the,d
nobler,noble,j-c
still,still,av
it,it,pn
appears,appear,vvz
And,and,cc
seasons,season,n2
of,of,acp-p
more,more,d-c
tenderness,tenderness,n1
because,because,acp-cs
his,his,po
ruin,ruin,n1
styles,style,vvz
her,her,po
absolute,absolute,j
And,and,cc
his,his,po
imprisonment,imprisonment,n1
adds,add,vvz
to,to,acp-p
her,her,po
profit,profit,n1
Feeling,feel,vvg
all,all,d
this,this,d
which,which,crq-r
makes,make,vvz
all,all,d
men,man,n2
admire,admire,vvb
her,she,pno
The,the,d
warm,warm,j
beams,beam,n2
of,of,acp-p
this,this,d
fortune,fortune,n1
that,that,cs
fall,fall,vvb
on,on,acp-p
her,she,pno
Yet,yet,av
has,have,vvz
she,she,pns
made,make,vvn
divers,diverse,j
and,and,cc
noble,noble,j
treaties,treaty,n2
And,and,cc
propositions,proposition,n2
for,for,acp-p
her,her,po
brother's,brother,n1g
freedom,freedom,n1
If,if,cs
wealth,wealth,n1
or,or,cc
honour,honour,n1
Py.,Py.,n-ab
Peace,peace,n1
peace,peace,uh_n
you,you,pn
are,be,vvb
fooled,fool,vvn
sir,sir,n1
Things,thing,n2
of,of,acp-p
these,these,d
natures,nature,n2
have,have,vvb
strange,strange,j
outsides,outside,n2
Pedro,Pedro,n1-nn
And,and,cc
cunning,cunning,j
shadows,shadow,n2
set,set,vvd
'em,they,pno
far,far,av_j
from,from,acp-p
us,we,pno
Draw,draw,vvb
'em,they,pno
but,but,acp-av
near,near,av_j
they,they,pns
are,be,vvb
gross,gross,j
and,and,cc
they,they,pns
abuse,abuse,vvb
us,we,pno
They,they,pns
that,that,cs
observe,observe,vvb
her,she,pno
close,close,av_j
shall,shall,vmb
find,find,vvi
her,her,po
nature,nature,n1
Which,which,crq-r
I,I,pns
doubt,doubt,vvb
mainly,main,av_j
will,will,vmb
not,not,xx
prove,prove,vvi
so,so,av
excellent,excellent,j
She,she,pns
is,be,vvz
a,a,d
Princess,princess,n1
and,and,cc
she,she,pns
must,must,vmb
be,be,vvi
fair,fair,j
That's,that|be,d|vvz
the,the,d
prerogative,prerogative,n1
of,of,acp-p
being,be,vvg
royal,royal,j
Let,let,vvb
her,she,pno
want,want,vvi
eyes,eye,n2
and,and,cc
nose,nose,n1
she,she,pns
must,must,vmb
be,be,vvi
beauteous,beauteous,j
And,and,cc
she,she,pns
must,must,vmb
know,know,vvi
it,it,pn
too,too,av
and,and,cc
the,the,d
use,use,n1
of,of,acp-p
it,it,pn
And,and,cc
people,people,n1
must,must,vmb
believe,believe,vvi
it,it,pn
they,they,pns
are,be,vvb
damned,damn,vvn
else,else,av
Why,why,crq-q
all,all,d
the,the,d
neighbour,neighbour,n1
Princes,prince,n2
are,be,vvb
mad,mad,j
for,for,acp-p
her,she,pno
Chr.,Chr.,n-ab
Is,be,vvz
she,she,pns
not,not,xx
fair,fair,j
then,then,av
Py.,Py.,n-ab
But,but,acp-cc
her,her,po
hopes,hope,n2
are,be,vvb
fairer,fair,j-c
And,and,cc
there's,there|be,av|vvz
a,a,d
haughty,haughty,j
Master,master,n1
the,the,d
King,king,n1
of,of,acp-p
Bakan,Bakan,n1-nn
That,that,cs
lofty,lofty,j
sir,sir,n1
that,that,cs
speaks,speak,vvz
far,far,av_j
more,more,av-c_d
and,and,cc
louder,loud,j-c
In,in,acp-p
his,his,po
own,own,d
commendations,commendation,n2
then,then,av
a,a,d
Cannon,cannon,n1
He,he,pns
is,be,vvz
strucken,strike,vvn
dumb,dumb,j
with,with,acp-p
her,she,pno
Ped.,Ped.,n-ab
Beshrew,beshrew,vvb
me,i,pno
she,she,pns
is,be,vvz
a,a,d
sweet,sweet,j
one,one,pi
Py.,Py.,n-ab
And,and,cc
there's,there|be,av|vvz
that,that,d
hopeful,hopeful,j
man,man,n1
of,of,acp-p
Syana,Syana,n1-nn
That,that,cs
sprightly,sprightly,j
fellow,fellow,n1
he,he,pns
that's,that|be,cs|vvz
wise,wise,j
and,and,cc
temperate,temperate,j
He,he,pns
