standard,lemma,postag
THE,the,d
WEEDING,weed,n1_vg
OF,of,acp-p
THE,the,d
COVENT-GARDEN,Covent-garden,n1-nn
Or,or,cc
the,the,d
middlesex-justice,middlesex-justice,n1
OF,of,acp-p
Peace,peace,n1
A,a,d
Facetious,facetious,j
COMEDY,comedy,n1
A,a,d
POSTHUME,posthume,n1
of,of,acp-p
RICHARD,Richard,n1-nn
BROME,Brome,n1-nn
An,a,d
Ingenious,ingenious,j
Servant,servant,n1
and,and,cc
Imitator,imitator,n1
of,of,acp-p
his,his,po
Master,master,n1
that,that,cs
famously,famous,av_j
Renowned,renown,j_vn
Poet,poet,n1
Ben,ben,n1-nn
Johnson,Johnson,n1-nn
Aut,aut,fw-la
prodesse,prodesse,fw-la
solent,solent,fw-la
aut,aut,fw-la
delectare,delectare,fw-la
Poetae,poetae,fw-la
Dramatis,dramatis,fw-la
Personae,personae,fw-la
LONDON,London,n1-nn
Printed,print,vvn
for,for,acp-p
Andrew,Andrew,n1-nn
Crook,crook,n1-nn
and,and,cc
are,be,vvb
to,to,acp-cs
be,be,vvi
sold,sell,vvn
at,at,acp-p
the,the,d
Green,green,j
Dragon,dragon,n1
in,in,acp-p
St.,St.,n-ab
Paul's,Paul,n1g-nn
Churchyard,churchyard,n1
And,and,cc
Henry,Henry,n1-nn
Broom,broom,n1-nn
at,at,acp-p
the,the,d
Gun,gun,n1
in,in,acp-p
Ivy-lane,ivy-lane,n1
1658,1658,crd
Upon,upon,acp-p
AGLAƲRA,AGLAƲRA,n1-nn
printed,print,vvn
in,in,acp-p
Folio,folio,n1
By,by,acp-p
this,this,d
large,large,j
Margin,margin,n1
did,do,vvd
the,the,d
Poet,poet,n1
mean,mean,vvb
To,to,acp-cs
have,have,vvi
a,a,d
Comment,comment,n1
writ,write,vvn
upon,upon,acp-p
his,his,po
Scene,scene,n1
Or,or,cc
is,be,vvz
it,it,pn
that,that,cs
the,the,d
Ladies,lady,n2
who,who,crq-r
never,never,av-x
look,look,vvb
On,on,acp-p
any,any,d
but,but,acp-p
a,a,d
Poem,poem,n1
or,or,cc
Playbook,playbook,n1
May,may,vmb
in,in,acp-p
each,each,d
page,page,n1
have,have,vvb
space,space,n1
to,to,acp-cs
scribble,scribble,vvb
down,down,acp-av
When,when,crq-cs
such,such,d
a,a,d
Lord,lord,n1
or,or,cc
Fashion,fashion,vvb
comes,come,vvz
to,to,acp-p
Town,town,n1
As,as,acp-p
Swains,swain,n2
in,in,acp-p
Almanacs,almanac,n2
account,account,n1
do,do,vvb
keep,keep,vvi
When,when,crq-cs
their,their,po
Cow,cow,n1
calved,calve,vvd
and,and,cc
when,when,crq-cs
they,they,pns
bought,buy,vvd
their,their,po
sheep,sheep,n1
Ink,ink,n1
is,be,vvz
the,the,d
life,life,n1
of,of,acp-p
Paper,paper,n1
'tis,it|be,pn|vvz
meet,meet,j
then,then,av
That,that,cs
this,this,d
which,which,crq-r
scaped,escape,vvd
the,the,d
Press,press,n1
should,shall,vmd
feel,feel,vvi
the,the,d
Pen,pen,n1
A,a,d
Room,room,n1
with,with,acp-p
one,one,crd
side,side,n1
furnished,furnish,vvn
or,or,cc
a,a,d
face,face,n1
Painted,paint,j_vn
halfway,halfway,n1
is,be,vvz
but,but,acp-av
a,a,d
fair,fair,j
disgrace,disgrace,n1
This,this,d
great,great,j
voluminous,voluminous,j
Pamphlet,pamphlet,n1
may,may,vmb
be,be,vvi
said,say,vvn
To,to,acp-cs
be,be,vvi
like,like,acp-p
one,one,pi
that,that,cs
hath,have,vvz
more,more,d-c
hair,hair,n1
than,than,cs
head,head,n1
More,more,d-c
excrement,excrement,n1
than,than,cs
body,body,n1
Trees,tree,n2
which,which,crq-r
sprout,sprout,n1
