standard,lemma,postag
Plantagenet,Plantagenet,n1-nn
Duke,duke,n1
of,of,acp-p
York,York,n1-nn
be,be,vvb
king,king,n1
And,and,cc
bashful,bashful,j
Henry,Henry,n1-nn
deposed,depose,vvn
whose,who,crq-rg
cowardice,cowardice,n1
Hath,have,vvz
made,make,vvn
us,we,pno
bywords,by-word,n2
to,to,acp-p
our,our,po
enemies,enemy,n2
YORK,,
Then,then,av
leave,leave,vvb
me,i,pno
not,not,xx
my,my,po
lords,lord,n2
be,be,vvi
resolute,resolute,j
I,i,pns
mean,mean,vvb
to,to,acp-cs
take,take,vvi
possession,possession,n1
of,of,acp-p
my,my,po
right,right,n1_j
WARWICK,,
Neither,neither,av-x_d
the,the,d
King,king,n1
nor,nor,cc-x
he,he,pns
that,that,cs
loves,love,vvz
him,he,pno
best,best,av-s_j
The,the,d
proudest,proud,j-s
he,he,pns
that,that,cs
holds,hold,vvz
up,up,acp-av
Lancaster,Lancaster,n1-nn
Dares,dare,vvz
stir,stir,vvi
a,a,d
wing,wing,n1
if,if,cs
Warwick,Warwick,n1-nn
shake,shake,vvb
his,his,po
bells,bell,n2
I'll,i|will,pns|vmb
plant,plant,vvi
Plantagenet,Plantagenet,n1-nn
root,root,vvi
him,he,pno
up,up,acp-av
who,who,crq-r
dares,dare,vvz
Resolve,resolve,vvb
thee,thou,pno
Richard,Richard,n1-nn
claim,claim,vvb
the,the,d
English,English,j-nn
crown,crown,n1
York,,
sits,,
in,,
the,,
chair,,
of,,
state,,
Flourish,,
Enter,,
King,,
Henry,,
Clifford,,
Northumberland,,
Westmorland,,
Exeter,,
and,,
the,,
rest,,
all,,
wearing,,
the,,
red,,
rose,,
KING,,
HENRY,,
My,my,po
lords,lord,n2
look,look,vvb
where,where,crq-cs
the,the,d
sturdy,sturdy,j
rebel,rebel,n1
sits,sit,vvz
Even,even,av
in,in,acp-p
the,the,d
chair,chair,n1
of,of,acp-p
state,state,n1
Belike,belike,av
he,he,pns
means,mean,vvz
Backed,back,vvn
by,by,acp-p
the,the,d
power,power,n1
of,of,acp-p
Warwick,Warwick,n1-nn
that,that,d
false,false,j
peer,peer,n1
To,to,acp-cs
aspire,aspire,vvi
unto,unto,acp-p
the,the,d
crown,crown,n1
and,and,cc
reign,reign,vvi
as,as,acp-p
king,king,n1
Earl,earl,n1
of,of,acp-p
Northumberland,Northumberland,n1-nn
he,he,pns
slew,slay,vvd
thy,thy,po
father,father,n1
And,and,cc
thine,thou,png
Lord,lord,n1
Clifford,Clifford,n1-nn
and,and,cc
you,you,pn
both,both,d
have,have,vvb
vowed,vow,vvn
revenge,revenge,n1
On,on,acp-p
him,he,pno
his,his,po
sons,son,n2
his,his,po
favorites,favourite,n2
and,and,cc
his,his,po
