standard,lemma,postag
meddle,meddle,vvi
nor,nor,cc-x
make,make,vvi
no,no,av-x_d
farther,far,av-c_j
He,he,pns
that,that,cs
will,will,vmb
have,have,vvi
a,a,d
cake,cake,n1
out,out,av
of,of,acp-p
the,the,d
wheat,wheat,n1
must,must,vmb
tarry,tarry,vvi
the,the,d
grinding,grind,n1_vg
TROILUS,,
Have,have,vvb
I,i,pns
not,not,xx
tarried,tarry,vvn
PANDARUS,,
Ay,ay,uh
the,the,d
grinding,grind,n1_vg
but,but,acp-cc
you,you,pn
must,must,vmb
tarry,tarry,vvi
the,the,d
bolting,bolt,n1_vg
TROILUS,,
Have,have,vvb
I,i,pns
not,not,xx
tarried,tarry,vvn
PANDARUS,,
Ay,ay,uh
the,the,d
bolting,bolt,n1_vg
but,but,acp-cc
you,you,pn
must,must,vmb
tarry,tarry,vvi
the,the,d
leavening,leaven,n1_vg
TROILUS,,
Still,still,av
have,have,vvb
I,i,pns
tarried,tarry,vvn
PANDARUS,,
Ay,ay,uh
to,to,acp-p
the,the,d
leavening,leaven,n1_vg
but,but,acp-cc
here's,here|be,av|vvz
yet,yet,av
in,in,acp-p
the,the,d
word,word,n1
hereafter,hereafter,av
the,the,d
kneading,knead,n1_vg
the,the,d
making,make,n1_vg
of,of,acp-p
the,the,d
cake,cake,n1
the,the,d
heating,heat,n1_vg
the,the,d
oven,oven,n1
and,and,cc
the,the,d
baking,bake,n1_vg
Nay,nay,uh
you,you,pn
must,must,vmb
stay,stay,vvi
the,the,d
cooling,cool,n1_vg
too,too,av
or,or,cc
you,you,pn
may,may,vmb
chance,chance,vvi
burn,burn,vvi
your,your,po
lips,lip,n2
TROILUS,,
Patience,patience,n1
herself,herself,px
what,what,crq-r
goddess,goddess,n1
e'er,ever,av
she,she,pns
be,be,vvb
Doth,do,vvz
lesser,lesser,av-c_j
blench,blench,vvi
at,at,acp-p
suff'rance,sufferance,n1
than,than,cs
I,i,pns
do,do,vvb
At,at,acp-p
Priam's,Priam,n1g-nn
royal,royal,j
table,table,n1
do,do,vvb
I,i,pns
sit,sit,vvi
And,and,cc
when,when,crq-cs
fair,fair,j
Cressid,Cressida,n1-nn
comes,come,vvz
into,into,acp-p
my,my,po
thoughts,thought,n2
So,so,av
traitor,traitor,n1
When,when,av
she,she,pns
