standard,lemma,postag
with,with,acp-p
fear,fear,n1
and,and,cc
wonder,wonder,n1
BARNARDO,,
It,it,pn
would,will,vmd
be,be,vvi
spoke,speak,vvn
to,to,acp-p
MARCELLUS,,
Speak,speak,vvb
to,to,acp-p
it,it,pn
Horatio,Horatio,n1-nn
HORATIO,,
What,what,crq-q
art,be,vv2
thou,thou,pns
that,that,cs
usurp'st,usurp,vv2
this,this,d
time,time,n1
of,of,acp-p
night,night,n1
Together,together,av
with,with,acp-p
that,that,d
fair,fair,j
and,and,cc
warlike,warlike,j
form,form,n1
In,in,acp-p
which,which,crq-r
the,the,d
majesty,majesty,n1
of,of,acp-p
buried,bury,j_vn
Denmark,Denmark,n1-nn
Did,do,vvd
sometimes,sometime,av
march,march,vvi
By,by,acp-p
heaven,heaven,n1
I,i,pns
charge,charge,vvb
thee,thou,pno
speak,speak,vvb
MARCELLUS,,
It,it,pn
is,be,vvz
offended,offend,vvn
BARNARDO,,
See,see,vvb
it,it,pn
stalks,stalk,vvz
away,away,av
HORATIO,,
Stay,stay,vvb
speak,speak,vvb
speak,speak,vvb
I,i,pns
charge,charge,vvb
thee,thou,pno
speak,speak,vvb
Ghost,,
exits,,
MARCELLUS,,
'Tis,it|be,pn|vvz
gone,go,vvn
and,and,cc
will,will,vmb
not,not,xx
answer,answer,vvi
BARNARDO,,
How,how,crq-cs
now,now,av
Horatio,Horatio,n1-nn
you,you,pn
tremble,tremble,vvb
and,and,cc
look,look,vvb
pale,pale,j
Is,be,vvz
not,not,xx
this,this,d
something,something,pi
more,more,d-c
than,than,cs
fantasy,fantasy,n1
What,what,crq-q
think,think,vvb
you,you,pn
on,on,acp-p
't,it,pn
HORATIO,,
Before,before,acp-p
my,my,po
God,God,n1-nn
I,i,pns
might,may,vmd
not,not,xx
this,this,d
believe,believe,vvi
Without,without,acp-p
the,the,d
sensible,sensible,j
and,and,cc
true,true,j
avouch,avouch,n1
Of,of,acp-p
mine,my,po
own,own,d
eyes,eye,n2
MARCELLUS,,
Is,be,vvz
it,it,pn
not,not,xx
like,like,acp-p
the,the,d
King,king,n1
HORATIO,,
As,as,acp-cs
thou,thou,pns
art,be,vv2
to,to,acp-p
thyself,thyself,px
Such,such,d
was,be,vvd
the,the,d
very,very,j
armor,armour,n1
he,he,pns
had,have,vvd
on,on,acp-av
When,when,crq-cs
he,he,pns
the,the,d
ambitious,ambitious,j
Norway,Norway,n1-nn
combated,combat,vvd
So,so,av
frowned,frown,vvd
he,he,pns
once,once,acp-av
when,when,crq-cs
in,in,acp-p
an,a,d
angry,angry,j
parle,parley,n1
He,he,pns
smote,smite,vvd
the,the,d
sledded,sled,j_vn
Polacks,Polack,n2-nn_j
on,on,acp-p
the,the,d
ice,ice,n1
'Tis,it|be,pn|vvz
strange,strange,j
MARCELLUS,,
Thus,thus,av
twice,twice,av
before,before,acp-av
and,and,cc
jump,jump,av
at,at,acp-p
this,this,d
dead,dead,j
hour,hour,n1
With,with,acp-p
martial,martial,j
stalk,stalk,n1
hath,have,vvz
he,he,pns
gone,go,vvn
by,by,acp-p
our,our,po
watch,watch,n1
HORATIO,,
In,in,acp-p
what,what,crq-r
particular,particular,j
thought,thought,n1
to,to,acp-cs
work,work,vvi
I,i,pns
know,know,vvb
not,not,xx
But,but,acp-cc
in,in,acp-p
the,the,d
gross,gross,j
and,and,cc
scope,scope,n1
of,of,acp-p
mine,my,po
opinion,opinion,n1
This,this,d
bodes,bode,vvz
some,some,d
strange,strange,j
eruption,eruption,n1
to,to,acp-p
our,our,po
state,state,n1
MARCELLUS,,
Good,good,j
now,now,av
sit,sit,vvb
down,down,acp-av
and,and,cc
tell,tell,vvb
me,i,pno
he,he,pns
that,that,cs
knows,know,vvz
Why,why,crq-cs
this,this,d
same,same,d
strict,strict,j
and,and,cc
most,most,av-s_d
observant,observant,j
watch,watch,n1
So,so,av
nightly,nightly,av_j
toils,toil,vvz
the,the,d
subject,subject,n1
of,of,acp-p
the,the,d
land,land,n1
And,and,cc
why,why,crq-cs
such,such,d
daily,daily,j
cast,cast,n1
of,of,acp-p
brazen,brazen,j
cannon,cannon,n1
And,and,cc
foreign,foreign,j
mart,mart,n1
for,for,acp-p
implements,implement,n2
of,of,acp-p
war,war,n1
Why,why,crq-cs
such,such,d
impress,impress,n1
of,of,acp-p
shipwrights,shipwright,n2
whose,who,crq-rg
sore,sore,j
task,task,n1
Does,do,vvz
not,not,xx
divide,divide,vvi
the,the,d
Sunday,Sunday,n1-nn
from,from,acp-p
the,the,d
week,week,n1
What,what,crq-q
might,may,vmd
be,be,vvi
toward,towards,acp-p
that,that,cs
this,this,d
sweaty,sweaty,j
haste,haste,n1
Doth,do,vvz
make,make,vvi
the,the,d
night,night,n1
joint,joint,j
laborer,laborer,n1
with,with,acp-p
the,the,d
day,day,n1
Who,who,crq-q
is,be,vvz
't,it,pn
that,that,cs
can,can,vmb
inform,inform,vvi
me,i,pno
HORATIO,,
That,that,d
can,can,vmb
I,i,pns
At,at,acp-p
least,least,d-s
the,the,d
whisper,whisper,n1
goes,go,vvz
so,so,av
our,our,po
last,last,ord
king,king,n1
Whose,who,crq-rg
image,image,n1
even,even,av
but,but,acp-av
now,now,av
appeared,appear,vvd
to,to,acp-p
us,we,pno
Was,be,vvd
as,as,acp-cs
you,you,pn
know,know,vvb
by,by,acp-p
Fortinbras,Fortinbras,n1-nn
of,of,acp-p
Norway,Norway,n1-nn
Thereto,thereto,av
pricked,prick,vvn
on,on,acp-av
by,by,acp-p
a,a,d
most,most,av-s_d
emulate,emulate,vvb
pride,pride,n1
Dared,dare,vvn
to,to,acp-p
the,the,d
combat,combat,n1
in,in,acp-p
which,which,crq-r
our,our,po
valiant,valiant,j
Hamlet,Hamlet,n1-nn
For,for,acp-p
so,so,av
this,this,d
side,side,n1
of,of,acp-p
our,our,po
known,know,j_vn
world,world,n1
esteemed,esteem,vvd
him,he,pno
Did,do,vvd
slay,slay,vvi
this,this,d
Fortinbras,Fortinbras,n1-nn
who,who,crq-r
by,by,acp-p
a,a,d
sealed,seal,j_vn
compact,compact,n1
Well,well,av
ratified,ratify,vvn
by,by,acp-p
law,law,n1
and,and,cc
heraldry,heraldry,n1
Did,do,vvd
forfeit,forfeit,vvi
with,with,acp-p
his,his,po
life,life,n1
all,all,d
those,those,d
his,his,po
lands,land,n2
Which,which,crq-r
he,he,pns
stood,stand,vvd
seized,seize,vvn
of,of,acp-p
to,to,acp-p
the,the,d
conqueror,conqueror,n1
Against,against,acp-p
the,the,d
which,which,crq-r
a,a,d
moiety,moiety,n1
competent,competent,j
Was,be,vvd
gagèd,gage,vvn
by,by,acp-p
our,our,po
king,king,n1
which,which,crq-r
had,have,vvd
returned,return,vvn
To,to,acp-p
the,the,d
inheritance,inheritance,n1
of,of,acp-p
Fortinbras,Fortinbras,n1-nn
Had,have,vvd
he,he,pns
been,be,vvn
vanquisher,vanquisher,n1
as,as,acp-cs
by,by,acp-p
the,the,d
same,same,d
comart,comart,n1
And,and,cc
carriage,carriage,n1
of,of,acp-p
the,the,d
article,article,n1
designed,design,vvn
His,his,po
fell,fall,vvd
to,to,acp-p
Hamlet,Hamlet,n1-nn
Now,now,av
sir,sir,n1
young,young,j
Fortinbras,Fortinbras,n1-nn
Of,of,acp-p
unimprovèd,unimproved,j
mettle,mettle,n1
hot,hot,j
and,and,cc
full,full,j
Hath,have,vvz
in,in,acp-p
the,the,d
skirts,skirt,n2
of,of,acp-p
Norway,Norway,n1-nn
here,here,av
and,and,cc
there,there,acp-av
Sharked,shark,vvd
up,up,acp-av
a,a,d
list,list,n1
of,of,acp-p
lawless,lawless,j
resolutes,resolute,n2_j
For,for,acp-p
food,food,n1
and,and,cc
diet,diet,n1
to,to,acp-p
some,some,d
enterprise,enterprise,n1
That,that,cs
hath,have,vvz
a,a,d
stomach,stomach,n1
in,in,acp-p
't,it,pn
which,which,crq-r
is,be,vvz
no,no,d-x
other,other,pi_d
As,as,acp-cs
it,it,pn
doth,do,vvz
well,well,av
appear,appear,vvi
unto,unto,acp-p
our,our,po
state,state,n1
But,but,acp-cc
to,to,acp-cs
recover,recover,vvi
of,of,acp-p
us,we,pno
by,by,acp-p
strong,strong,j
hand,hand,n1
And,and,cc
terms,term,n2
compulsatory,compulsatory,j
those,those,d
foresaid,foresay,j_vn
lands,land,n2
So,so,av
by,by,acp-p
his,his,po
father,father,n1
lost,lose,vvd
And,and,cc
this,this,d
I,i,pns
take,take,vvb
it,it,pn
Is,be,vvz
the,the,d
main,main,j
motive,motive,n1
of,of,acp-p
our,our,po
preparations,preparation,n2
The,the,d
source,source,n1
of,of,acp-p
this,this,d
our,our,po
watch,watch,n1
and,and,cc
the,the,d
chief,chief,j
head,head,n1
Of,of,acp-p
this,this,d
posthaste,posthaste,n1
and,and,cc
rummage,rummage,n1
in,in,acp-p
the,the,d
land,land,n1
BARNARDO,,
I,i,pns
think,think,vvb
it,it,pn
be,be,vvb
no,no,d-x
other,other,pi_d
but,but,acp-p
e'en,even,av
so,so,av
Well,well,av
may,may,vmb
it,it,pn
sort,sort,vvi
that,that,cs
this,this,d
portentous,portentous,j
figure,figure,n1
Comes,come,vvz
armèd,arm,vvn
through,through,acp-p
our,our,po
watch,watch,n1
so,so,av
like,like,acp-p
the,the,d
king,king,n1
That,that,cs
was,be,vvd
and,and,cc
is,be,vvz
the,the,d
question,question,n1
of,of,acp-p
these,these,d
wars,war,n2
HORATIO,,
A,a,d
mote,mote,n1
it,it,pn
is,be,vvz
to,to,acp-cs
trouble,trouble,vvi
the,the,d
mind's,mind,n1g
eye,eye,n1
In,in,acp-p
the,the,d
most,most,av-s_d
high,high,j
and,and,cc
palmy,palmy,j
state,state,n1
of,of,acp-p
Rome,Rome,n1-nn
A,a,d
little,little,av_j
ere,ere,acp-p
the,the,d
mightiest,mighty,j-s
Julius,Julius,n1-nn
fell,fall,vvd
The,the,d
graves,grave,n2
stood,stand,vvd
tenantless,tenantless,j
and,and,cc
the,the,d
sheeted,sheet,j_vn
dead,dead,j
Did,do,vvd
squeak,squeak,vvi
and,and,cc
gibber,gibber,vvi
in,in,acp-p
the,the,d
Roman,Roman,j-nn
streets,street,n2
As,as,acp-cs
stars,star,n2
with,with,acp-p
trains,train,n2
of,of,acp-p
fire,fire,n1
and,and,cc
dews,dew,n2
of,of,acp-p
blood,blood,n1
Disasters,disaster,n2
in,in,acp-p
the,the,d
sun,sun,n1
and,and,cc
the,the,d
moist,moist,j
star,star,n1
Upon,upon,acp-p
whose,who,crq-rg
influence,influence,n1
Neptune's,Neptune,n1g-nn
empire,empire,n1
stands,stand,vvz
Was,be,vvd
sick,sick,j
almost,almost,av
to,to,acp-p
doomsday,doomsday,n1
with,with,acp-p
eclipse,eclipse,n1
And,and,cc
even,even,av
the,the,d
like,like,j
precurse,precurse,n1
of,of,acp-p
feared,fear,j_vn
events,event,n2
As,as,acp-p
harbingers,harbinger,n2
preceding,precede,vvg
still,still,av
the,the,d
fates,fate,n2
And,and,cc
prologue,prologue,n1
to,to,acp-p
the,the,d
omen,omen,n1
coming,come,vvg
on,on,acp-av
Have,have,vvb
heaven,heaven,n1
and,and,cc
Earth,earth,n1
together,together,av
demonstrated,demonstrate,vvn
Unto,unto,acp-p
our,our,po
climatures,climature,n2
and,and,cc
countrymen,countryman,n2
Enter,,
Ghost,,
But,but,acp-cc
soft,soft,j
behold,behold,vvb
Lo,lo,uh
where,where,crq-cs
it,it,pn
comes,come,vvz
again,again,av
I'll,i|will,pns|vmb
cross,cross,vvi
it,it,pn
though,though,cs
it,it,pn
blast,blast,vvb
me,i,pno
Stay,stay,vvb
illusion,illusion,n1
It,,
spreads,,
his,,
arms,,
If,if,cs
thou,thou,pns
hast,have,vv2
any,any,d
sound,sound,n1
or,or,cc
use,use,n1
of,of,acp-p
voice,voice,n1
Speak,speak,vvb
to,to,acp-p
me,i,pno
If,if,cs
there,there,acp-av
be,be,vvb
any,any,d
good,good,j
thing,thing,n1
to,to,acp-cs
be,be,vvi
done,do,vvn
That,that,cs
may,may,vmb
to,to,acp-p
thee,thou,pno
do,do,vvb
ease,ease,n1
and,and,cc
grace,grace,n1
to,to,acp-p
me,i,pno
Speak,speak,vvb
to,to,acp-p
me,i,pno
If,if,cs
thou,thou,pns
art,be,vv2
privy,privy,j
to,to,acp-p
thy,thy,po
country's,country,n1g
fate,fate,n1
Which,which,crq-r
happily,happy,av_j
foreknowing,foreknow,vvg
may,may,vmb
avoid,avoid,vvi
O,oh,uh
speak,speak,vvb
Or,or,cc
if,if,cs
thou,thou,pns
hast,have,vv2
uphoarded,uphoard,vvn
in,in,acp-p
thy,thy,po
life,life,n1
Extorted,extort,j_vn
treasure,treasure,n1
in,in,acp-p
the,the,d
womb,womb,n1
of,of,acp-p
earth,earth,n1
For,for,acp-p
which,which,crq-r
they,they,pns
say,say,vvb
you,your,po
spirits,spirit,n2
oft,oft,av
walk,walk,vvb
in,in,acp-p
death,death,n1
Speak,speak,vvb
of,of,acp-p
it,it,pn
The,,
cock,,
crows,,
Stay,stay,vvb
and,and,cc
speak,speak,vvb
Stop,stop,vvb
it,it,pn
Marcellus,Marcellus,n1-nn
MARCELLUS,,
Shall,shall,vmb
I,i,pns
strike,strike,vvi
it,it,pn
with,with,acp-p
my,my,po
partisan,partisan,n1
HORATIO,,
Do,do,vvb
if,if,cs
it,it,pn
will,will,vmb
not,not,xx
stand,stand,vvi
BARNARDO,,
'Tis,it|be,pn|vvz
here,here,av
HORATIO,,
'Tis,it|be,pn|vvz
here,here,av
Ghost,,
exits,,
MARCELLUS,,
'Tis,it|be,pn|vvz
gone,go,vvn
We,we,pns
do,do,vvb
it,it,pn
wrong,wrong,n1_j
being,be,vvg
so,so,av
majestical,majestical,j
To,to,acp-cs
offer,offer,vvi
it,it,pn
the,the,d
show,show,n1
of,of,acp-p
violence,violence,n1
For,for,acp-p
it,it,pn
is,be,vvz
as,as,acp-cs
the,the,d
air,air,n1
invulnerable,invulnerable,j
And,and,cc
our,our,po
vain,vain,j
blows,blow,n2
malicious,malicious,j
mockery,mockery,n1
BARNARDO,,
It,it,pn
was,be,vvd
about,about,acp-av
to,to,acp-cs
speak,speak,vvi
when,when,crq-cs
the,the,d
cock,cock,n1
crew,crew,n1
HORATIO,,
And,and,cc
then,then,av
it,it,pn
started,start,vvd
like,like,acp-p
a,a,d
guilty,guilty,j
thing,thing,n1
Upon,upon,acp-p
a,a,d
fearful,fearful,j
summons,summons,n1
I,i,pns
have,have,vvb
heard,hear,vvn
The,the,d
cock,cock,n1
that,that,cs
is,be,vvz
the,the,d
trumpet,trumpet,n1
to,to,acp-p
the,the,d
morn,morn,n1
Doth,do,vvz
with,with,acp-p
his,his,po
lofty,lofty,j
and,and,cc
shrill-sounding,shrill-sounding,j
throat,throat,n1
Awake,awake,vvb
the,the,d
god,god,n1
of,of,acp-p
day,day,n1
and,and,cc
at,at,acp-p
his,his,po
warning,warn,n1_vg
Whether,whether,cs
in,in,acp-p
sea,sea,n1
or,or,cc
fire,fire,n1
in,in,acp-p
earth,earth,n1
or,or,cc
air,air,n1
Th',the,d
extravagant,extravagant,j
and,and,cc
erring,err,j_vg
spirit,spirit,n1
hies,hie,vvz
To,to,acp-p
his,his,po
confine,confine,n1
and,and,cc
of,of,acp-p
the,the,d
truth,truth,n1
herein,herein,av
This,this,d
present,present,j
object,object,n1
made,make,vvd
probation,probation,n1
MARCELLUS,,
It,it,pn
faded,fade,vvd
on,on,acp-p
the,the,d
crowing,crow,n1_vg
of,of,acp-p
the,the,d
cock,cock,n1
Some,some,d
say,say,vvb
that,that,cs
ever,ever,av
'gainst,against,acp-p
that,that,d
season,season,n1
comes,come,vvz
Wherein,wherein,crq-cs
our,our,po
Savior's,saviour,n1g
birth,birth,n1
is,be,vvz
celebrated,celebrate,vvn
This,this,d
bird,bird,n1
of,of,acp-p
dawning,dawn,vvg
singeth,sing,vvz
all,all,d
night,night,n1
long,long,av_j
And,and,cc
then,then,av
they,they,pns
say,say,vvb
no,no,d-x
spirit,spirit,n1
dare,dare,vvb
stir,stir,vvi
abroad,abroad,av
The,the,d
nights,night,n2
are,be,vvb
wholesome,wholesome,j
then,then,av
no,no,d-x
planets,planet,n2
strike,strike,vvb
No,no,d-x
fairy,fairy,n1
takes,take,vvz
nor,nor,cc-x
witch,witch,n1
hath,have,vvz
power,power,n1
to,to,acp-cs
charm,charm,vvi
So,so,av
hallowed,hallow,vvn
and,and,cc
so,so,av
gracious,gracious,j
is,be,vvz
that,that,d
time,time,n1
HORATIO,,
So,so,av
have,have,vvb
I,i,pns
heard,hear,vvn
and,and,cc
do,do,vvb
in,in,acp-p
part,part,n1
believe,believe,vvi
it,it,pn
But,but,acp-cc
look,look,vvb
the,the,d
morn,morn,n1
in,in,acp-p
russet,russet,j
mantle,mantle,n1
clad,clad,vvn
Walks,walk,vvz
o'er,over,acp-p
the,the,d
dew,dew,n1
of,of,acp-p
yon,yond,d
high,high,j
eastward,eastward,av
hill,hill,n1
Break,break,vvb
we,we,pns
our,our,po
watch,watch,n1
up,up,acp-av
and,and,cc
by,by,acp-p
my,my,po
advice,advice,n1
Let,let,vvb
us,we,pno
impart,impart,vvi
what,what,crq-r
we,we,pns
have,have,vvb
seen,see,vvn
tonight,tonight,av
Unto,unto,acp-p
young,young,j
Hamlet,Hamlet,n1-nn
for,for,acp-p
upon,upon,acp-p
my,my,po
life,life,n1
This,this,d
spirit,spirit,n1
dumb,dumb,j
to,to,acp-p
us,we,pno
will,will,vmb
speak,speak,vvi
to,to,acp-p
him,he,pno
Do,do,vvb
you,you,pn
consent,consent,vvi
we,we,pns
shall,shall,vmb
acquaint,acquaint,vvi
him,he,pno
with,with,acp-p
it,it,pn
As,as,acp-p
needful,needful,j
in,in,acp-p
our,our,po
loves,love,n2
fitting,fit,vvg
our,our,po
duty,duty,n1
MARCELLUS,,
Let's,let|we,vvb|pno
do,do,vvi
't,it,pn
I,i,pns
pray,pray,vvb
and,and,cc
I,i,pns
this,this,d
morning,morning,n1
know,know,vvb
Where,where,crq-cs
we,we,pns
shall,shall,vmb
find,find,vvi
him,he,pno
most,most,av-s_d
convenient,convenient,j
They,,
exit,,
Scene,,
2,,
Flourish,,
Enter,,
Claudius,,
King,,
of,,
Denmark,,
Gertrude,,
the,,
Queen,,
the,,
Council,,
as,,
Polonius,,
and,,
his,,
son,,
Laertes,,
Hamlet,,
with,,
others,,
among,,
them,,
Voltemand,,
and,,
Cornelius,,
KING,,
Though,though,cs
yet,yet,av
of,of,acp-p
Hamlet,Hamlet,n1-nn
our,our,po
dear,dear,j
brother's,brother,n1g
death,death,n1
The,the,d
memory,memory,n1
be,be,vvb
green,green,j
and,and,cc
that,that,cs
it,it,pn
us,we,pno
befitted,befit,vvd
To,to,acp-cs
bear,bear,vvi
our,our,po
hearts,heart,n2
in,in,acp-p
grief,grief,n1
and,and,cc
our,our,po
whole,whole,j
kingdom,kingdom,n1
To,to,acp-cs
be,be,vvi
contracted,contract,vvn
in,in,acp-p
one,one,crd
brow,brow,n1
of,of,acp-p
woe,woe,n1
Yet,yet,av
so,so,av
far,far,av_j
hath,have,vvz
discretion,discretion,n1
fought,fight,vvn
with,with,acp-p
nature,nature,n1
That,that,cs
we,we,pns
with,with,acp-p
wisest,wise,j-s
sorrow,sorrow,n1
think,think,vvb
on,on,acp-p
him,he,pno
Together,together,av
with,with,acp-p
remembrance,remembrance,n1
of,of,acp-p
ourselves,ourselves,px
Therefore,therefore,av
our,our,po
sometime,sometime,av
sister,sister,n1
now,now,av
our,our,po
queen,queen,n1
Th',the,d
imperial,imperial,j
jointress,jointress,n1
to,to,acp-p
this,this,d
warlike,warlike,j
state,state,n1
Have,have,vvb
we,we,pns
as,as,acp-cs
'twere,it|be,pn|vvd
with,with,acp-p
a,a,d
defeated,defeat,j_vn
joy,joy,n1
With,with,acp-p
an,a,d
auspicious,auspicious,j
and,and,cc
a,a,d
dropping,drop,j_vg
eye,eye,n1
With,with,acp-p
mirth,mirth,n1
in,in,acp-p
funeral,funeral,n1
and,and,cc
with,with,acp-p
dirge,dirge,n1
in,in,acp-p
marriage,marriage,n1
In,in,acp-p
equal,equal,j
scale,scale,n1
weighing,weigh,vvg
delight,delight,n1
and,and,cc
dole,dole,n1
Taken,take,vvn
to,to,acp-p
wife,wife,n1
Nor,nor,cc-x
have,have,vvb
we,we,pns
herein,herein,av
barred,bar,vvn
Your,your,po
better,better,j-c
wisdoms,wisdom,n2
which,which,crq-r
have,have,vvb
freely,free,av_j
gone,go,vvn
With,with,acp-p
this,this,d
affair,affair,n1
along,along,acp-av
For,for,acp-p
all,all,d
our,our,po
thanks,thank,n2
Now,now,av
follows,follow,vvz
that,that,cs
you,you,pn
know,know,vvb
Young,young,j
Fortinbras,Fortinbras,n1-nn
Holding,hold,vvg
a,a,d
weak,weak,j
supposal,supposal,n1
of,of,acp-p
our,our,po
worth,worth,n1
Or,or,cc
thinking,think,vvg
by,by,acp-p
our,our,po
late,late,j
dear,dear,j
brother's,brother,n1g
death,death,n1
Our,our,po
state,state,n1
to,to,acp-cs
be,be,vvi
disjoint,disjoin,vvn
and,and,cc
out,out,av
of,of,acp-p
frame,frame,n1
Colleaguèd,co-league,vvn
with,with,acp-p
this,this,d
dream,dream,n1
of,of,acp-p
his,his,po
advantage,advantage,n1
He,he,pns
hath,have,vvz
not,not,xx
failed,fail,vvn
to,to,acp-cs
