standard,lemma,postag
sad,sad,j
SOLANIO,,
Why,why,crq-cs
then,then,av
you,you,pn
are,be,vvb
in,in,acp-p
love,love,n1
ANTONIO,,
Fie,fie,uh
fie,fie,uh
SOLANIO,,
Not,not,xx
in,in,acp-p
love,love,n1
neither,neither,av-x_d
Then,then,av
let,let,vvb
us,we,pno
say,say,vvi
you,you,pn
are,be,vvb
sad,sad,j
Because,because,acp-cs
you,you,pn
are,be,vvb
not,not,xx
merry,merry,j
and,and,cc
'twere,it|be,pn|vvd
as,as,acp-av
easy,easy,j
For,for,acp-p
you,you,pn
to,to,acp-cs
laugh,laugh,vvi
and,and,cc
leap,leap,vvi
and,and,cc
say,say,vvi
you,you,pn
are,be,vvb
merry,merry,j
Because,because,acp-cs
you,you,pn
are,be,vvb
not,not,xx
sad,sad,j
Now,now,av
by,by,acp-p
two-headed,two-headed,j
Janus,Janus,n1-nn
Nature,nature,n1
hath,have,vvz
framed,frame,vvn
strange,strange,j
fellows,fellow,n2
in,in,acp-p
her,her,po
time,time,n1
Some,some,d
that,that,cs
will,will,vmb
evermore,evermore,av
peep,peep,vvi
through,through,acp-p
their,their,po
eyes,eye,n2
And,and,cc
laugh,laugh,vvi
like,like,acp-p
parrots,parrot,n2
at,at,acp-p
a,a,d
bagpiper,bagpiper,n1
And,and,cc
other,other,pi_d
of,of,acp-p
such,such,d
vinegar,vinegar,n1
aspect,aspect,n1
That,that,cs
they'll,they|will,pns|vmb
not,not,xx
show,show,vvi
their,their,po
teeth,tooth,n2
in,in,acp-p
way,way,n1
of,of,acp-p
smile,smile,n1
Though,though,cs
Nestor,Nestor,n1-nn
swear,swear,vvb
the,the,d
jest,jest,n1
be,be,vvb
laughable,laughable,j
Enter,,
Bassanio,,
Lorenzo,,
and,,
Gratiano,,
Here,here,av
comes,come,vvz
Bassanio,Bassanio,n1-nn
your,your,po
most,most,av-s_d
noble,noble,j
kinsman,kinsman,n1
Gratiano,Gratiano,n1-nn
and,and,cc
Lorenzo,Lorenzo,n1-nn
Fare,fare,vvb
you,you,pn
well,well,av
We,we,pns
leave,leave,vvb
you,you,pn
now,now,av
with,with,acp-p
better,better,j-c
company,company,n1
SALARINO,,
I,i,pns
would,will,vmd
have,have,vvi
stayed,stay,vvn
till,till,acp-cs
I,i,pns
had,have,vvd
made,make,vvn
you,you,pn
merry,merry,j
If,if,cs
worthier,worthy,j-c
friends,friend,n2
had,have,vvd
not,not,xx
prevented,prevent,vvn
me,i,pno
ANTONIO,,
Your,your,po
worth,worth,n1
is,be,vvz
very,very,av
dear,dear,j
in,in,acp-p
my,my,po
regard,regard,n1
I,i,pns
take,take,vvb
it,it,pn
your,your,po
own,own,d
business,business,n1
calls,call,vvz
