standard,lemma,postag
WOMEN,woman,n2
BEWARE,beware,vvb
WOMEN,woman,n2
A,a,d
TRAGEDY,tragedy,n1
BY,by,acp-p
"Tho,",Thomas,n1-nn
Middleton,Middleton,n1-nn
Gent.,Gent.,n-ab
LONDON,London,n1-nn
Printed,print,vvn
for,for,acp-p
Humphrey,Humphrey,n1-nn
Moseley,Moseley,n1-nn
1657,1657,crd
DUke,duke,n1
of,of,acp-p
Florence,Florence,n1-nn
Lord,lord,n1
Cardinal,cardinal,n1
Brother,brother,n1
to,to,acp-p
the,the,d
Duke,duke,n1
Two,two,crd
Cardinals,cardinal,n2
more,more,av-c_d
A,a,d
Lord,lord,n1
Fabritio,Fabritio,n1-nn
Father,father,n1
to,to,acp-p
Isabella,Isabel,n1-nn
Hippolito,Hippolito,n1-nn
Brother,brother,n1
to,to,acp-p
Fabritio,Fabritio,n1-nn
Guardiano,Guardiano,n1-nn
Uncle,uncle,n1
to,to,acp-p
the,the,d
Foolish,foolish,j
Ward,ward,n1
The,the,d
Ward,ward,n1
a,a,d
rich,rich,j
young,young,j
Heir,heir,n1
Leantio,Leantio,n1-nn
a,a,d
Factor,factor,n1
Husband,husband,n1
to,to,acp-p
Brancha,Brancha,n1-nn
Sordido,Sordido,n1-nn
the,the,d
Wards,ward,n2
Man,man,n1
Livia,Livia,n1-nn
Sister,sister,n1
to,to,acp-p
Fabritio,Fabritio,n1-nn
Isabella,Isabel,n1-nn
Niece,niece,n1
to,to,acp-p
Livia,Livia,n1-nn
Brancha,Brancha,n1-nn
Leantio's,Leantio,n1g-nn
Wife,wife,n1
Widow,widow,n1
his,his,po
Mother,mother,n1
States,state,n2
of,of,acp-p
Florence,Florence,n1-nn
Citizens,citizen,n2
A,a,d
Prentice,apprentice,n1
Boys,Boys,n1-nn
Messenger,messenger,n1
Servants,servant,n2
The,the,d
Scaen,scaena,fw-la
FLORENCE,Florence,n1-nn
WOMEN,woman,n2
BEWARE,beware,vvb
WOMEN,woman,n2
Act.,Act.,n-ab
1.,1.,crd
Scaen.,Scaen.,n-ab
1.,1.,crd
Enter,enter,vvb
Leantio,Leantio,n1-nn
with,with,acp-p
Brancha,Brancha,n1-nn
and,and,cc
Mother,mother,n1
Mother,mother,n1
Thy,thy,po
sight,sight,n1
was,be,vvd
never,never,av-x
yet,yet,av
more,more,av-c_d
precious,precious,j
to,to,acp-p
me,i,pno
Welcome,welcome,uh_j
with,with,acp-p
all,all,d
the,the,d
affection,affection,n1
of,of,acp-p
a,a,d
Mother,mother,n1
That,that,cs
comfort,comfort,n1
can,can,vmb
express,express,vvi
from,from,acp-p
natural,natural,j
love,love,n1
Since,since,acp-cs
thy,thy,po
birth-joy,birth-joy,n1
a,a,d
Mother's,mother,n1g
chiefest,chief,j-s
gladness,gladness,n1
After,after,acp-p
sh'as,she|have,pns|vvz
undergone,undergo,vvn
her,her,po
curse,curse,n1
of,of,acp-p
sorrows,sorrow,n2
Thou,thou,pns
was't,be|it,vvd|pn
not,not,xx
more,more,av-c_d
dear,dear,j
to,to,acp-p
me,i,pno
than,than,cs
this,this,d
hour,hour,n1
Presents,present,vvz
thee,thou,pno
to,to,acp-p
my,my,po
heart,heart,n1
Welcome,welcome,uh_j
again,again,av
Leant.,Leant.,n-ab
'Las,alas,uh
poor,poor,j
affectionate,affectionate,j
Soul,soul,n1
how,how,crq-cs
her,her,po
joys,joy,n2
speak,speak,vvi
to,to,acp-p
me,i,pno
I,I,pns
have,have,vvb
observed,observe,vvn
it,it,pn
often,often,av
and,and,cc
I,I,pns
know,know,vvb
it,it,pn
is,be,vvz
The,the,d
fortune,fortune,n1
commonly,common,av_j
of,of,acp-p
knavish,knavish,j
Children,child,n2
To,to,acp-cs
have,have,vvi
the,the,d
lovingest,love,j-s_vg
Mothers,mother,n2
Moth.,Moth.,n-ab
What's,what|be,crq-q|vvz
this,this,d
Gentlewoman,gentlewoman,n1
Leant:,Leantio,n1-nn
Speak,speak,vvb
low,low,av_j
sweet,sweet,j
Mother,mother,n1
you,you,pn
are,be,vvb
able,able,j
to,to,acp-cs
spoil,spoil,vvi
as,as,acp-p
many,many,d
As,as,acp-cs
come,come,vvb
within,within,acp-p
the,the,d
hearing,hear,n1_vg
If,if,cs
it,it,pn
be,be,vvb
