standard,lemma,postag
THE,the,d
GENTLEMAN,gentleman,n1
OF,of,acp-p
VENICE,Venice,n1-nn
A,a,d
tragicomey,tragicomey,n1
Presented,present,vvn
at,at,acp-p
the,the,d
Private,private,j
house,house,n1
in,in,acp-p
Salisbury,Salisbury,n1-nn
Court,court,n1
by,by,acp-p
her,her,po
Majesty's,majesty,n1g
Servants,servant,n2
Written,write,j_vn
by,by,acp-p
JAMES,James,n1-nn
SHIRLEY,Shirley,n1-nn
LONDON,London,n1-nn
Printed,print,vvn
for,for,acp-p
Humphrey,Humphrey,n1-nn
Moseley,Moseley,n1-nn
and,and,cc
are,be,vvb
to,to,acp-cs
be,be,vvi
sold,sell,vvn
at,at,acp-p
his,his,po
Shop,shop,n1
at,at,acp-p
the,the,d
PRINCE's,prince,n1g
Arms,arm,n2
in,in,acp-p
St.,St.,n-ab
Paul's,Paul,n1g-nn
Churchyard,churchyard,n1
1655,1655,crd
TO,to,acp-p
THE,the,d
HONOURABLE,honourable,j
Sir,sir,n1
THO.,THO.,n-ab
NIGHTINGALE,nightingale,n1
Baronet,baronet,n1
SIR,sir,n1
THE,the,d
Poem,poem,n1
that,that,cs
approacheth,approach,vvz
to,to,acp-cs
kiss,kiss,vvi
your,your,po
hand,hand,n1
had,have,vvd
once,once,acp-av
a,a,d
singular,singular,j
grace,grace,n1
and,and,cc
lustre,lustre,n1
from,from,acp-p
the,the,d
Scene,scene,n1
when,when,crq-cs
it,it,pn
enjoyed,enjoy,vvd
the,the,d
life,life,n1
of,of,acp-p
action,action,n1
Nor,nor,cc-x
did,do,vvd
it,it,pn
want,want,vvi
the,the,d
best,best,j-s
hands,hand,n2
to,to,acp-cs
applaud,applaud,vvi
it,it,pn
in,in,acp-p
the,the,d
Theater,theater,n1
But,but,acp-cc
nothing,nothing,pi-x
of,of,acp-p
these,these,d
is,be,vvz
considerable,considerable,j
to,to,acp-p
the,the,d
Honour,honour,n1
it,it,pn
may,may,vmb
receive,receive,vvi
now,now,av
from,from,acp-p
your,your,po
Confirmation,confirmation,n1
and,and,cc
acceptance,acceptance,n1
I,I,pns
must,must,vmb
acknowledge,acknowledge,vvi
many,many,d
years,year,n2
have,have,vvb
passed,pass,vvn
since,since,acp-cs
it,it,pn
did,do,vvd
Vagire,vagire,vvi
in,in,acp-p
Cunis,Cunis,n1-nn
and,and,cc
when,when,crq-cs
it,it,pn
had,have,vvd
gotten,get,vvn
strength,strength,n1
and,and,cc
legs,leg,n2
to,to,acp-cs
walk,walk,vvi
travelling,travel,vvg
without,without,acp-p
direction,direction,n1
it,it,pn
lost,lose,vvd
itself,itself,px
till,till,acp-cs
it,it,pn
was,be,vvd
recovered,recover,vvn
after,after,acp-p
much,much,d
inquisition,inquisition,n1
and,and,cc
now,now,av
upon,upon,acp-p
the,the,d
first,first,ord
return,return,n1
home,home,av_n
hath,have,vvz
made,make,vvn
this,this,d
fortunate,fortunate,j
address,address,n1
and,and,cc
application,application,n1
to,to,acp-p
your,your,po
Patronage,patronage,n1
In,in,acp-p
which,which,crq-r
my,my,po
ambition,ambition,n1
is,be,vvz
satisfied,satisfy,vvn
I,I,pns
know,know,vvb
this,this,d
Nation,nation,n1
hath,have,vvz
been,be,vvn
fruitful,fruitful,j
in,in,acp-p
names,name,n2
of,of,acp-p
Eminent,eminent,j
Honour,honour,n1
But,but,acp-cc
in,in,acp-p
these,these,d
times,time,n2
there,there,av
be,be,vvi
more,more,d-c
Lords,lord,n2
than,than,cs
Noblemen,nobleman,n2
and,and,cc
while,while,cs
you,you,pn
are,be,vvb
pleased,please,vvn
to,to,acp-cs
smile,smile,vvi
upon,upon,acp-p
this,this,d
piece,piece,n1
I,I,pns
most,most,av-s_d
cheerfully,cheerful,av_j
throw,throw,vvi
myself,myself,px
and,and,cc
it,it,pn
upon,upon,acp-p
your,your,po
Protection,protection,n1
whose,who,crq-rg
single,single,j
worth,worth,n1
to,to,acp-p
me,i,pno
is,be,vvz
beyond,beyond,acp-p
all,all,d
the,the,d
boasted,boast,j_vn
Greatness,greatness,n1
and,and,cc
voluminous,voluminous,j
titles,title,n2
of,of,acp-p
our,our,po
age,age,n1
Be,be,vvb
pleased,please,vvn
to,to,acp-cs
read,read,vvi
what,what,crq-q
is,be,vvz
