standard,lemma,postag
THE,the,d
imposter,imposter,n1
A,a,d
tragicomey,tragicomey,n1
AS,as,acp-p
It,it,pn
was,be,vvd
Acted,act,vvn
at,at,acp-p
the,the,d
private,private,j
House,house,n1
IN,in,acp-p
BLACK,black,j
friars,friar,n2
WRITTEN,write,j_vn
By,by,acp-p
JAMES,James,n1-nn
SHIRLEY,Shirley,n1-nn
Never,never,av-x
Printed,print,vvn
before,before,acp-av
LONDON,London,n1-nn
Printed,print,vvn
for,for,acp-p
Humphrey,Humphrey,n1-nn
Robinson,Robinson,n1-nn
at,at,acp-p
the,the,d
Three,three,crd
Pigeons,pigeon,n2
and,and,cc
Humphrey,Humphrey,n1-nn
Moseley,Moseley,n1-nn
at,at,acp-p
the,the,d
Prince's,prince,n1g
Arms,arm,n2
in,in,acp-p
St.,St.,n-ab
Paul's,Paul,n1g-nn
Church-yard,Church-yard,n1
1652,1652,crd
TO,to,acp-p
SIR,sir,n1
ROBERT,Robert,n1-nn
BOLLES,Bolles,n1-nn
Baronet,baronet,n1
SIR,sir,n1
IT,it,pn
hath,have,vvz
been,be,vvn
a,a,d
Compliment,compliment,n1
with,with,acp-p
some,some,d
when,when,crq-cs
they,they,pns
have,have,vvb
treated,treat,vvn
Friends,friend,n2
to,to,acp-cs
profess,profess,vvi
a,a,d
barrenness,barrenness,n1
in,in,acp-p
that,that,d
which,which,crq-r
they,they,pns
had,have,vvd
prepared,prepare,vvn
not,not,xx
without,without,acp-p
studied,study,j_vn
charge,charge,n1
and,and,cc
Curiosity,Curiosity,n1
As,as,acp-p
I,I,pns
was,be,vvd
never,never,av-x
so,so,av
insolent,insolent,j
to,to,acp-cs
magnify,magnify,vvi
my,my,po
own,own,d
being,be,vvg
best,best,av-s_j
acquainted,acquaint,vvn
with,with,acp-p
my,my,po
weak,weak,j
abilities,ability,n2
so,so,av
I,I,pns
should,shall,vmd
deserve,deserve,vvi
a,a,d
just,just,j
affront,affront,n1
to,to,acp-p
myself,myself,px
and,and,cc
undervalue,undervalue,vvi
your,your,po
person,person,n1
to,to,acp-cs
present,present,vvi
you,you,pn
with,with,acp-p
any,any,d
thing,thing,n1
were,be,vvd
first,first,ord
cheap,cheap,j
in,in,acp-p
my,my,po
own,own,d
opinion,opinion,n1
Sir,sir,n1
this,this,d
Poem,poem,n1
I,I,pns
may,may,vmb
with,with,acp-p
modesty,modesty,n1
affirm,affirm,vvi
had,have,vvd
a,a,d
fair,fair,j
reception,reception,n1
when,when,crq-cs
it,it,pn
was,be,vvd
personated,personate,vvn
on,on,acp-p
the,the,d
stage,stage,n1
and,and,cc
may,may,vmb
march,march,vvi
in,in,acp-p
the,the,d
first,first,ord
rank,rank,n1
of,of,acp-p
my,my,po
own,own,d
compositions,composition,n2
which,which,crq-r
directed,direct,vvd
now,now,av
by,by,acp-p
my,my,po
humble,humble,j
devotion,devotion,n1
comes,come,vvz
from,from,acp-p
the,the,d
press,press,n1
to,to,acp-cs
kiss,kiss,vvi
your,your,po
hand,hand,n1
and,and,cc
bear,bear,vvb
your,your,po
noble,noble,j
Name,name,n1
in,in,acp-p
the,the,d
dedication,dedication,n1
I,I,pns
cannot,can,vmb-x
have,have,vvb
so,so,av
much,much,d
prejudice,prejudice,n1
upon,upon,acp-p
your,your,po
nature,nature,n1
to,to,acp-cs
think,think,vvi
you,you,pn
will,will,vmb
decline,decline,vvi
it,it,pn
and,and,cc
should,shall,vmd
I,I,pns
abate,abate,vvi
those,those,d
other,other,d
characters,character,n2
of,of,acp-p
honour,honour,n1
that,that,cs
shine,shine,vvb
