standard,lemma,postag
THE,the,d
woman's,woman,n1g
PRIZE,prize,n1
OR,or,cc
The,the,d
Tamer,tame,j-c
Tamed,tame,vvn
Actus,actus,fw-la
Primus,primus,fw-la
Scaena,scaena,fw-la
Prima,prima,fw-la
Enter,enter,vvb
Moroso,moroso,n1-nn
Sophocles,Sophocles,n1-nn
and,and,cc
Tranio,Tranio,n1-nn
with,with,acp-p
Rosemary,rosemary,n1
as,as,acp-cs
from,from,acp-p
a,a,d
wedding,wedding,n1
Moroso,moroso,fw-la
God,God,n1-nn
give,give,vvb
'em,they,pno
joy,joy,n1
Tra.,Tra.,n-ab
Amen,amen,uh
Soph.,Soph.,n-ab
Amen,amen,uh
say,say,vvb
I,I,pns
to,to,acp-p
The,the,d
Puddings,pudding,n2
now,now,av
i'th',in|the,acp-p|d
proof,proof,n1
alas,alas,uh
poor,poor,j
wench,wench,n1
Through,through,acp-p
what,what,crq-r
a,a,d
mine,mine,n1
of,of,acp-p
patience,patience,n1
must,must,vmb
thou,thou,pns
work,work,vvi
Ere,ere,acp-cs
thou,thou,pns
knowest,know,vv2
good,good,j
hour,hour,n1
more,more,av-c_d
Tra.,Tra.,n-ab
'Tis,it|be,pn|vvz
too,too,av
true,true,j
Certain,certain,j
methinks,methinks,vvb
her,her,po
father,father,n1
has,have,vvz
dealt,deal,vvn
harshly,harsh,av_j
with,with,acp-p
her,she,pno
Exceeding,exceed,vvg
harshly,harsh,av_j
and,and,cc
not,not,xx
like,like,acp-p
a,a,d
Father,father,n1
To,to,acp-cs
match,match,vvi
her,she,pno
to,to,acp-p
this,this,d
Dragon,dragon,n1
I,I,pns
protest,protest,vvb
I,I,pns
pity,pity,vvb
the,the,d
poor,poor,j
Gentlewoman,gentlewoman,n1
Mor.,Mor.,n-ab
methinks,methinks,vvb
now,now,av
He's,he|be,pns|vvz
not,not,xx
so,so,av
terrible,terrible,j
as,as,acp-cs
people,people,n1
think,think,vvb
him,he,pno
Soph.,Soph.,n-ab
This,this,d
old,old,j
thief,thief,n1
flatters,flatter,vvz
out,out,av
of,of,acp-p
mere,mere,j
devotion,devotion,n1
To,to,acp-cs
please,please,vvi
the,the,d
father,father,n1
for,for,acp-p
his,his,po
second,second,ord
daughter,daughter,n1
Tra.,Tra.,n-ab
But,but,acp-cc
shall,shall,vmb
he,he,pns
have,have,vvi
her,her,po
Soph.,Soph.,n-ab
Yes,yes,uh
when,when,crq-cs
I,I,pns
have,have,vvb
Rome,Rome,n1-nn
And,and,cc
yet,yet,av
the,the,d
father's,father|be,n1|vvz
for,for,acp-p
him,he,pno
Mor.,Mor.,n-ab
I'll,I|will,pns|vmb
assure,assure,vvb
ye,you,pn
I,I,pns
hold,hold,vvb
him,he,pno
a,a,d
good,good,j
man,man,n1
Soph.,Soph.,n-ab
Yes,yes,uh
sure,sure,j
a,a,d
wealthy,wealthy,j
But,but,acp-cc
whether,whether,cs
a,a,d
good,good,j
woman's,woman,n1g
man,man,n1
is,be,vvz
doubtful,doubtful,j
Tra.,Tra.,n-ab
Would,will,vmd
'twere,it|be,pn|vvd
no,no,av-x_d
worse,worse,av-c_j
Mor.,Mor.,n-ab
What,what,crq-q
though,though,cs
his,his,po
other,other,d
wife,wife,n1
Out,out,av
of,of,acp-p
her,her,po
most,most,av-s_d
abundant,abundant,j
soberness,soberness,n1
Out,out,av
of,of,acp-p
her,her,po
daily,daily,j
hue,hue,n1
and,and,cc
cries,cry,n2
upon,upon,acp-p
him,he,pno
For,for,acp-cs
sure,sure,av_j
she,she,pns
was,be,vvd
a,a,d
Rebel,rebel,n1
turned,turn,vvd
his,his,po
temper,temper,n1
And,and,cc
forced,force,vvd
him,he,pno
blow,blow,n1
as,as,acp-p
high,high,j
as,as,acp-cs
she,she,pns
dost,do,vv2
follow,follow,vvi
He,he,pns
must,must,vmb
retain,retain,vvi
that,that,cs
long,long,av_j
since,since,acp-cs
buried,bury,vvn
Tempest,tempest,n1
To,to,acp-p
this,this,d
soft,soft,j
maid,maid,n1
Soph.,Soph.,n-ab
I,I,pns
fear,fear,vvb
it,it,pn
Tra.,Tra.,n-ab
So,so,av
do,do,vvb
I,I,pns
too,too,av
And,and,cc
so,so,av
far,far,av_j
that,that,cs
if,if,cs
God,God,n1-nn
had,have,vvd
made,make,vvn
me,i,pno
woman,woman,n1
And,and,cc
his,his,po
wife,wife,n1
that,that,cs
must,must,vmb
be,be,vvi
Mor.,Mor.,n-ab
What,what,crq-q
would,will,vmd
you,you,pn
do,do,vvi
sir,sir,n1
Tra.,Tra.,n-ab
I,I,pns
would,will,vmd
learn,learn,vvi
to,to,acp-cs
eat,eat,vvi
Coals,coal,n2
with,with,acp-p
an,a,d
angry,angry,j
Cat,cat,n1
And,and,cc
spit,spit,vvb
