standard,lemma,postag
A,a,d
Game,game,n1
at,at,acp-p
Chess,chess,j
as,as,acp-cs
it,it,pn
was,be,vvd
Acted,act,vvn
nine,nine,crd
days,day,n2
to,to,acp-p
gether,gether,av
at,at,acp-p
the,the,d
Globe,globe,n1
on,on,acp-p
the,the,d
banks,bank,n1g
side,side,n1
The,the,d
Picture,picture,n1
plainly,plain,av_j
explained,explain,vvn
after,after,acp-p
the,the,d
manner,manner,n1
of,of,acp-p
the,the,d
Chess-play,chess-play,n1
A,a,d
Game,game,n1
at,at,acp-p
Chess,chess,n1
is,be,vvz
here,here,av
displayde,displayde,vvn
Between,between,acp-p
the,the,d
Black,black,j
and,and,cc
White-House,white-house,n1
made,make,vvd
Wherein,wherein,crq-cs
Crown-thirsting,crown-thirsting,j
Policy,policy,n1
For,for,acp-cs
the,the,d
black-house,black-house,n1
by,by,acp-p
Fallacy,fallacy,n1
To,to,acp-p
the,the,d
White-Knight,white-knight,n1
check,check,n1
often,often,av
gives,give,vvz
And,and,cc
to,to,acp-p
some,some,d
straits,straits,n2
him,he,pno
thereby,thereby,av
drives,drive,vvz
The,the,d
Fat-Blacke-Bishop,fat-blacke-bishop,n1
help's,help|be,n1|vvz
also,also,av
With,with,acp-p
faithless,faithless,j
heart,heart,n1
to,to,acp-cs
give,give,vvi
the,the,d
blow,blow,n1
Yet,yet,av
maugre,maugre,acp-p
all,all,d
their,their,po
craft,craft,n1
at,at,acp-p
length,length,n1
The,the,d
White,white,j
Knight,knight,n1
with,with,acp-p
wit-wondrous,wit-wondrous,j
strength,strength,n1
And,and,cc
circumspective,circumspective,j
Prudency,prudency,n1
Gives,give,vvz
Checkmate,checkmate,n1
by,by,acp-p
Discovery,discovery,n1
To,to,acp-p
the,the,d
Black,black,j
Knight,knight,n1
and,and,cc
so,so,av
at,at,acp-p
last,last,ord
The,the,d
game,game,n1
thus,thus,av
won,win,vvd
the,the,d
black-house,black-house,n1
cast,cast,vvd
Into,into,acp-p
the,the,d
Bag,bag,n1
and,and,cc
therein,therein,av
shut,shut,vvn
Find,find,vvi
all,all,d
their,their,po
plumes,plume,n2
and,and,cc
coxcombs,cocks-combe,n2
cut,cut,vvn
Plaine-dealing,plain-dealing,n1-nn
thus,thus,av
by,by,acp-p
wisdom's,wisdom,n1g
guide,guide,n1
Defeats,defeat,vvz
the,the,d
cheats,cheat,n2
of,of,acp-p
Craft,craft,n1
and,and,cc
Pride,pride,n1
Prologue,prologue,n1
WHat,what,crq-q
of,of,acp-p
the,the,d
Game,game,n1
called,call,vvd
Chess-play,chess-play,n1
can,can,vmb
be,be,vvi
made,make,vvn
To,to,acp-cs
make,make,vvi
a,a,d
Stage-Play,stage-play,n1
shall,shall,vmb
this,this,d
day,day,n1
be,be,vvi
played,play,vvn
First,first,ord
you,you,pn
shall,shall,vmb
see,see,vvi
the,the,d
men,man,n2
in,in,acp-p
order,order,n1
set,set,vvn
States,state,n2
and,and,cc
their,their,po
Pawns,pawn,n2
when,when,crq-cs
both,both,d
the,the,d
sides,side,n2
are,be,vvb
met,meet,vvn
The,the,d
Houses,house,n2
well,well,av
distinguished,distinguish,vvn
In,in,acp-p
the,the,d
Game,game,n1
Some,some,d
men,man,n2
entrapped,entrap,vvn
and,and,cc
taken,take,vvn
to,to,acp-p
their,their,po
shame,shame,n1
Rewarded,reward,vvn
by,by,acp-p
their,their,po
Play,play,n1
And,and,cc
in,in,acp-p
the,the,d
Close,close,j
You,you,pn
shall,shall,vmb
see,see,vvi
checkmate,checkmate,n1
given,give,vvn
to,to,acp-p
virtue's,virtue,n1g
Foes,foe,n2
But,but,acp-cc
the,the,d
fairest,fair,j-s
jewel,jewel,n1
that,that,cs
our,our,po
hopes,hope,n2
can,can,vmb
deck,deck,vvi
Is,be,vvz
so,so,av
to,to,acp-cs
play,play,vvi
our,our,po
Game,game,n1
t'avoid,to|avoid,acp-cs|vvi
your,your,po
Check,check,n1
A,a,d
Game,game,n1
at,at,acp-p
Chess,chess,n1
The,the,d
Induction,induction,n1
Ignatius,Ignatius,n1-nn
Loyola,Loyola,n1-nn
appearing,appear,vvg
Error,error,n1
at,at,acp-p
his,his,po
feet,foot,n2
as,as,acp-p
asleep,asleep,j
Ignatius,Ignatius,n1-nn
HA,ha,uh
where,where,crq-q
what,what,crq-q
Angle,angle,n1
of,of,acp-p
the,the,d
world,world,n1
is,be,vvz
this,this,d
That,that,cs
I,I,pns
can,can,vmb
neither,neither,av-x_d
see,see,vvi
the,the,d
politic,politic,j
face,face,n1
Nor,nor,cc-x
with,with,acp-p
my,my,po
refined,refine,j_vn
nostrils,nostril,n2
taste,taste,vvi
the,the,d
footsteps,footstep,n2
Of,of,acp-p
any,any,d
of,of,acp-p
my,my,po
Disciples,disciple,n2
sons,son,n2
and,and,cc
heirs,heir,n2
As,as,acp-cs
well,well,av
of,of,acp-p
my,my,po
designs,design,n2
as,as,acp-cs
institutions,institution,n2
I,I,pns
thought,think,vvd
they'd,they|will,pns|vmd
spread,spread,vvi
over,over,acp-p
the,the,d
World,world,n1
by,by,acp-p
this,this,d
time,time,n1
Covered,cover,vvn
the,the,d
earth's,earth,n1g
face,face,n1
and,and,cc
made,make,vvd
dark,dark,j
the,the,d
land,land,n1
Like,like,acp-p
the,the,d
Egyptian,egyptian,j-nn
Grasshoppers,grasshopper,n2
Here's,here|be,av|vvz
too,too,av
much,much,d
light,light,n1
appears,appear,vvz
shot,shoot,vvn
from,from,acp-p
the,the,d
eyes,eye,n2
Of,of,acp-p
Truth,truth,n1
and,and,cc
Goodness,goodness,n1
never,never,av-x
yet,yet,av
deflowered,deflower,vvn
Sure,sure,av_j
they,they,pns
were,be,vvd
never,never,av-x
here,here,av
then,then,av
is,be,vvz
their,their,po
Monarchy,monarchy,n1
Unperfect,unperfect,j
yet,yet,av
A,a,d
just,just,j
reward,reward,n1
I,I,pns
see,see,vvb
For,for,acp-p
their,their,po
ingratitude,ingratitude,n1
so,so,av
long,long,av_j
to,to,acp-p
me,i,pno
Their,their,po
father,father,n1
and,and,cc
founder,founder,n1
'Tis,it|be,pn|vvz
not,not,xx
five,five,crd
years,year,n2
