standard,lemma,postag
ACT,,
1,,
Scene,,
1,,
Enter,,
King,,
Richard,,
John,,
of,,
Gaunt,,
with,,
other,,
Nobles,,
and,,
Attendants,,
KING,,
RICHARD,,
Old,old,j
John,John,n1-nn
of,of,acp-p
Gaunt,Gaunt,n1-nn
time-honored,time-honoured,j
Lancaster,Lancaster,n1-nn
Hast,have,vv2
thou,thou,pns
according,accord,vvg
to,to,acp-p
thy,thy,po
oath,oath,n1
and,and,cc
band,band,n1
Brought,bring,vvn
hither,hither,av
Henry,Henry,n1-nn
Hereford,Hereford,n1-nn
thy,thy,po
bold,bold,j
son,son,n1
Here,here,av
to,to,acp-cs
make,make,vvi
good,good,j
the,the,d
boist'rous,boisterous,j
late,late,j
appeal,appeal,n1
Which,which,crq-r
then,then,av
our,our,po
leisure,leisure,n1
would,will,vmd
not,not,xx
let,let,vvi
us,we,pno
hear,hear,vvi
Against,against,acp-p
the,the,d
Duke,duke,n1
of,of,acp-p
Norfolk,Norfolk,n1-nn
Thomas,Thomas,n1-nn
Mowbray,Mowbray,n1-nn
GAUNT,,
I,i,pns
have,have,vvb
my,my,po
liege,liege,n1
KING,,
RICHARD,,
Tell,tell,vvb
me,i,pno
moreover,moreover,av
hast,have,vv2
thou,thou,pns
sounded,sound,vvn
him,he,pno
If,if,cs
he,he,pns
appeal,appeal,vvb
the,the,d
Duke,duke,n1
on,on,acp-p
ancient,ancient,j
malice,malice,n1
Or,or,cc
worthily,worthy,av_j
as,as,acp-cs
a,a,d
good,good,j
subject,subject,n1
should,shall,vmd
On,on,acp-p
some,some,d
known,know,j_vn
ground,ground,n1
of,of,acp-p
treachery,treachery,n1
in,in,acp-p
him,he,pno
GAUNT,,
As,as,acp-av
near,near,av_j
as,as,acp-cs
I,i,pns
could,can,vmd
sift,sift,vvi
him,he,pno
on,on,acp-p
that,that,d
argument,argument,n1
On,on,acp-p
some,some,d
apparent,apparent,j
danger,danger,n1
seen,see,vvn
in,in,acp-p
him,he,pno
Aimed,aim,vvn
at,at,acp-p
your,your,po
Highness,highness,n1
no,no,d-x
inveterate,inveterate,j
malice,malice,n1
KING,,
RICHARD,,
Then,then,av
call,call,vvb
them,they,pno
to,to,acp-p
our,our,po
presence,presence,n1
An,,
Attendant,,
exits,,
Face,face,n1
to,to,acp-p
face,face,n1
And,and,cc
frowning,frown,vvg
brow,brow,n1
to,to,acp-p
brow,brow,n1
ourselves,ourselves,px
will,will,vmb
hear,hear,vvi
The,the,d
accuser,accuser,n1
and,and,cc
the,the,d
accusèd,accuse,n1_vn
freely,free,av_j
speak,speak,vvb
High,high,av_j
stomached,stomach,j_vn
are,be,vvb
they,they,pns
both,both,av_d
and,and,cc
full,full,j
of,of,acp-p
ire,ire,n1
In,in,acp-p
rage,rage,n1
deaf,deaf,j
as,as,acp-cs
the,the,d
sea,sea,n1
hasty,hasty,j
as,as,acp-cs
fire,fire,n1
Enter,,
Bolingbroke,,
and,,
Mowbray,,
BOLINGBROKE,,
Many,many,d
years,year,n2
of,of,acp-p
happy,happy,j
days,day,n2
befall,befall,vvb
My,my,po
gracious,gracious,j
sovereign,sovereign,n1_j
my,my,po
most,most,av-s_d
loving,love,j_vg
liege,liege,n1
MOWBRAY,,
Each,each,d
day,day,n1
still,still,av
better,better,j-c
other's,other,pig_d
happiness,happiness,n1
Until,until,acp-cs
the,the,d
heavens,heaven,n2
envying,envy,vvg
earth's,earth,n1g
good,good,j
hap,hap,n1
Add,add,vvb
an,a,d
immortal,immortal,j
title,title,n1
to,to,acp-p
your,your,po
crown,crown,n1
KING,,
RICHARD,,
We,we,pns
thank,thank,vvb
you,you,pn
both,both,d
Yet,yet,av
one,one,crd
but,but,acp-av
flatters,flatter,vvz
us,we,pno
As,as,acp-cs
well,well,av
