standard,lemma,postag
a,a,d
woman,woman,n1
SIR,,
HUGH,,
It,it,pn
is,be,vvz
that,that,d
fery,very,av
person,person,n1
for,for,acp-p
all,all,d
the,the,d
'orld,world,n1
as,as,acp-av
just,just,av
as,as,acp-cs
you,you,pn
will,will,vmb
desire,desire,vvi
And,and,cc
seven,seven,crd
hundred,hundred,crd
pounds,pound,n2
of,of,acp-p
moneys,money,n2
and,and,cc
gold,gold,n1
and,and,cc
silver,silver,n1
is,be,vvz
her,her,po
grandsire,grandsire,n1
upon,upon,acp-p
his,his,po
death's-bed,deathbed,n1
Got,get,vvn
deliver,deliver,vvb
to,to,acp-p
a,a,d
joyful,joyful,j
resurrections,resurrection,n2
give,give,vvb
when,when,crq-cs
she,she,pns
is,be,vvz
able,able,j
to,to,acp-cs
overtake,overtake,vvi
seventeen,seventeen,crd
years,year,n2
old,old,j
It,it,pn
were,be,vvd
a,a,d
goot,good,j
motion,motion,n1
if,if,cs
we,we,pns
leave,leave,vvb
our,our,po
pribbles,pribble,n2
and,and,cc
prabbles,prabble,n2
and,and,cc
desire,desire,vvb
a,a,d
marriage,marriage,n1
between,between,acp-p
Master,master,n1
Abraham,Abraham,n1-nn
and,and,cc
Mistress,mistress,n1
Anne,Anne,n1-nn
Page,Page,n1-nn
SLENDER,,
Did,do,vvd
her,her,po
grandsire,grandsire,n1
leave,leave,vvi
her,her,po
seven,seven,crd
hundred,hundred,crd
pound,pound,n1
SIR,,
HUGH,,
Ay,ay,uh
and,and,cc
her,her,po
father,father,n1
is,be,vvz
make,make,vvb
her,she,pno
a,a,d
petter,better,j-c
penny,penny,n1
SLENDER,,
I,i,pns
know,know,vvb
the,the,d
young,young,j
gentlewoman,gentlewoman,n1
She,she,pns
has,have,vvz
good,good,j
gifts,gift,n2
SIR,,
HUGH,,
Seven,seven,crd
hundred,hundred,crd
pounds,pound,n2
and,and,cc
possibilities,possibility,n2
is,be,vvz
goot,good,j
gifts,gift,n2
SHALLOW,,
Well,well,uh_mi
let,let,vvb
us,we,pno
see,see,vvi
honest,honest,j
Master,master,n1
Page,Page,n1-nn
Is,be,vvz
Falstaff,Falstaff,n1-nn
there,there,acp-av
SIR,,
HUGH,,
Shall,shall,vmb
I,i,pns
tell,tell,vvi
you,you,pn
a,a,d
lie,lie,n1
I,i,pns
do,do,vvb
despise,despise,vvi
a,a,d
liar,liar,n1
as,as,acp-cs
I,i,pns
do,do,vvb
despise,despise,vvi
one,one,pi
that,that,cs
is,be,vvz
false,false,j
or,or,cc
as,as,acp-cs
I,i,pns
despise,despise,vvb
one,one,pi
that,that,cs
is,be,vvz
not,not,xx
true,true,j
The,the,d
knight,knight,n1
Sir,sir,n1
John,John,n1-nn
is,be,vvz
there,there,acp-av
and,and,cc
I,i,pns
beseech,beseech,vvb
you,you,pn
be,be,vvb
ruled,rule,vvn
by,by,acp-p
your,your,po
well-willers,well-willer,n2
I,i,pns
will,will,vmb
peat,peat,n1
the,the,d
door,door,n1
for,for,acp-p
Master,master,n1
Page,Page,n1-nn
He,,
knocks,,
What,what,crq-q
ho,ho,uh
Got,God,n1-nn
pless,bless,vvb
your,your,po
house,house,n1
here,here,av
PAGE,,
within,,
Who's,who|be,crq-r|vvz
there,there,acp-av
SIR,,
HUGH,,
Here,here,av
is,be,vvz
Got's,God,n1g-nn
plessing,blessing,n1
and,and,cc
your,your,po
friend,friend,n1
and,and,cc
Justice,justice,n1
Shallow,shallow,j
and,and,cc
here,here,av
young,young,j
Master,master,n1
Slender,Slender,n1-nn
that,that,cs
peradventures,peradventure,av
shall,shall,vmb
tell,tell,vvi
you,you,pn
another,another,d
tale,tale,n1
if,if,cs
matters,matter,n2
grow,grow,vvb
to,to,acp-p
your,your,po
likings,like,n2_vg
Enter,,
Master,,
Page,,
PAGE,,
I,i,pns
am,be,vvm
glad,glad,j
to,to,acp-cs
see,see,vvi
your,your,po
Worships,worship,n2
well,well,av
I,i,pns
thank,thank,vvb
you,you,pn
for,for,acp-p
my,my,po
venison,venison,n1
Master,master,n1
Shallow,shallow,j
SHALLOW,,
Master,master,n1
Page,Page,n1-nn
I,i,pns
am,be,vvm
glad,glad,j
to,to,acp-cs
see,see,vvi
you,you,pn
Much,much,av_d
good,good,j
do,do,vvb
it,it,pn
your,your,po
good,good,j
heart,heart,n1
I,i,pns
wished,wish,vvd
your,your,po
venison,venison,n1
better,better,av-c_j
it,it,pn
was,be,vvd
ill,ill,av_j
killed,kill,vvn
How,how,crq-q
doth,do,vvz
good,good,j
Mistress,mistress,n1
Page,Page,n1-nn
And,and,cc
I,i,pns
thank,thank,vvb
you,you,pn
always,always,av
with,with,acp-p
my,my,po
heart,heart,n1
la,la,uh
with,with,acp-p
my,my,po
heart,heart,n1
PAGE,,
Sir,sir,n1
I,i,pns
thank,thank,vvb
you,you,pn
SHALLOW,,
Sir,sir,n1
I,i,pns
thank,thank,vvb
you,you,pn
by,by,acp-p
yea,yea,uh
and,and,cc
no,no,uh-x
I,i,pns
do,do,vvb
PAGE,,
I,i,pns
am,be,vvm
glad,glad,j
to,to,acp-cs
see,see,vvi
you,you,pn
good,good,j
Master,master,n1
Slender,Slender,n1-nn
SLENDER,,
How,how,crq-q
does,do,vvz
your,your,po
fallow,fallow,j
greyhound,greyhound,n1
sir,sir,n1
I,i,pns
heard,hear,vvd
say,say,vvb
he,he,pns
was,be,vvd
outrun,outrun,vvn
on,on,acp-p
Cotsall,Cotsall,n1-nn
PAGE,,
It,it,pn
could,can,vmd
not,not,xx
be,be,vvi
judged,judge,vvn
sir,sir,n1
SLENDER,,
You'll,you|will,pn|vmb
