standard,lemma,postag
goodness,goodness,n1
LAFEW,,
Your,your,po
commendations,commendation,n2
madam,madam,n1
get,get,vvb
from,from,acp-p
her,her,po
tears,tear,n2
COUNTESS,,
'Tis,it|be,pn|vvz
the,the,d
best,best,j-s
brine,brine,n1
a,a,d
maiden,maiden,n1
can,can,vmb
season,season,n1
her,her,po
praise,praise,n1
in,in,acp-p
The,the,d
remembrance,remembrance,n1
of,of,acp-p
her,her,po
father,father,n1
never,never,av-x
approaches,approach,vvz
her,her,po
heart,heart,n1
but,but,acp-av
the,the,d
tyranny,tyranny,n1
of,of,acp-p
her,her,po
sorrows,sorrow,n2
takes,take,vvz
all,all,d
livelihood,livelihood,n1
from,from,acp-p
her,her,po
cheek,cheek,n1
No,no,av-x_d
more,more,d-c
of,of,acp-p
this,this,d
Helena,Helena,n1-nn
Go,go,vvb
to,to,acp-p
No,no,av-x_d
more,more,d-c
lest,lest,cs
it,it,pn
be,be,vvb
rather,rather,av-c
thought,think,vvn
you,you,pn
affect,affect,vvb
a,a,d
sorrow,sorrow,n1
than,than,cs
to,to,acp-cs
have,have,vvi
HELEN,,
I,i,pns
do,do,vvb
affect,affect,vvi
a,a,d
sorrow,sorrow,n1
indeed,indeed,av
but,but,acp-cc
I,i,pns
have,have,vvb
it,it,pn
too,too,av
LAFEW,,
Moderate,moderate,j
lamentation,lamentation,n1
is,be,vvz
the,the,d
right,right,n1_j
of,of,acp-p
the,the,d
dead,dead,j
excessive,excessive,j
grief,grief,n1
the,the,d
enemy,enemy,n1
to,to,acp-p
the,the,d
living,live,n1_vg
COUNTESS,,
If,if,cs
the,the,d
living,live,n1_vg
be,be,vvb
enemy,enemy,n1
to,to,acp-p
the,the,d
grief,grief,n1
the,the,d
excess,excess,n1
makes,make,vvz
it,it,pn
soon,soon,av
mortal,mortal,j
BERTRAM,,
Madam,madam,n1
I,i,pns
desire,desire,vvb
your,your,po
holy,holy,j
wishes,wish,n2
LAFEW,,
How,how,crq-q
understand,understand,vvb
we,we,pns
that,that,d
COUNTESS,,
Be,be,vvb
thou,thou,pns
blessed,bless,vvn
Bertram,Bertram,n1-nn
and,and,cc
succeed,succeed,vvb
thy,thy,po
father,father,n1
In,in,acp-p
manners,manner,n2
as,as,acp-cs
in,in,acp-p
shape,shape,n1
Thy,thy,po
blood,blood,n1
and,and,cc
virtue,virtue,n1
Contend,contend,vvb
for,for,acp-p
empire,empire,n1
in,in,acp-p
thee,thou,pno
and,and,cc
thy,thy,po
goodness,goodness,n1
Share,share,vvb
with,with,acp-p
thy,thy,po
birthright,birthright,n1
Love,love,vvb
all,all,d
trust,trust,vvb
a,a,d
few,few,d
Do,do,vvb
