standard,lemma,postag
THE,the,d
tragedy,tragedy,n1
OF,of,acp-p
VALENTINIAN,Valentinian,n1-nn
Actus,actus,fw-la
primus,primus,fw-la
Scaena,scaena,fw-la
prima,prima,fw-la
Enter,enter,vvb
Balbus,Balbus,n1-nn
Proculus,Proculus,n1-nn
Chilax,Chilax,n1-nn
Licinius,Licinius,n1-nn
Bal.,Bal.,n-ab
I,I,pns
Never,never,av-x
saw,see,vvd
the,the,d
like,like,j
she's,she|be,pns|vvz
no,not,xx
more,more,av-c_d
stirred,stir,vvn
No,no,av-x_d
more,more,av-c_d
another,another,d
woman,woman,n1
no,no,av-x_d
more,more,av-c_d
altered,alter,vvn
With,with,acp-p
any,any,d
hopes,hope,n2
or,or,cc
promises,promise,n2
laid,lay,vvn
to,to,acp-p
her,she,pno
Let,let,vvb
'em,they,pno
be,be,vvi
never,never,av-x
so,so,av
weighty,weighty,j
never,never,av-x
so,so,av
winning,win,vvg
Than,than,cs
I,I,pns
am,be,vvm
with,with,acp-p
the,the,d
motion,motion,n1
of,of,acp-p
my,my,po
own,own,d
legs,leg,n2
Pro.,Pro.,n-ab
Chilax,Chilax,n1-nn
You,you,pn
are,be,vvb
a,a,d
stranger,stranger,n1
yet,yet,av
in,in,acp-p
these,these,d
designs,design,n2
At,at,acp-p
least,least,d-s
in,in,acp-p
Rome,Rome,n1-nn
tell,tell,vvb
me,i,pno
and,and,cc
tell,tell,vvb
me,i,pno
truth,truth,n1
Did,do,vvd
you,you,pn
ere,ere,acp-p
know,know,vvi
in,in,acp-p
all,all,d
your,your,po
course,course,n1
of,of,acp-p
practice,practice,n1
In,in,acp-p
all,all,d
the,the,d
ways,way,n2
of,of,acp-p
woman,woman,n1
you,you,pn
have,have,vvb
run,run,vvn
through,through,acp-p
For,for,acp-cs
I,I,pns
presume,presume,vvb
you,you,pn
have,have,vvb
been,be,vvn
brought,bring,vvn
up,up,acp-av
Chilax,Chilax,n1-nn
As,as,acp-cs
we,we,pns
to,to,acp-cs
fetch,fetch,vvi
and,and,cc
carry,carry,vvi
Chi.,Chi.,n-ab
True,true,j
I,I,pns
have,have,vvb
so,so,av
Pro.,Pro.,n-ab
Did,do,vvd
you,you,pn
I,I,pns
say,say,vvb
again,again,av
in,in,acp-p
all,all,d
this,this,d
progress,progress,n1
Ever,ever,av
discover,discover,vvb
such,such,d
a,a,d
piece,piece,n1
of,of,acp-p
beauty,beauty,n1
Ever,ever,av
so,so,av
rare,rare,j
a,a,d
Creature,creature,n1
and,and,cc
no,no,d-x
doubt,doubt,n1
One,one,pi
that,that,cs
must,must,vmb
know,know,vvi
her,her,po
worth,worth,n1
too,too,av
and,and,cc
affect,affect,vvb
it,it,pn
I,I,pns
and,and,cc
be,be,vvi
flattered,flatter,vvn
else,else,av
'tis,it|be,pn|vvz
none,none,pi-x
and,and,cc
honest,honest,j
Honest,honest,j
against,against,acp-p
the,the,d
tide,tide,n1
of,of,acp-p
all,all,d
temptations,temptation,n2
Honest,honest,j
to,to,acp-p
one,one,crd
man,man,n1
to,to,acp-p
her,her,po
husband,husband,n1
only,only,av_j
