standard,lemma,postag
Women,woman,n2
pleased,please,vvn
Actus,actus,fw-la
primus,primus,fw-la
Scaena,scaena,fw-la
prima,prima,fw-la
Enter,enter,vvb
Bartello,Bartello,n1-nn
and,and,cc
Silvio,Silvio,n1-nn
Sil.,Sil.,n-ab
'Tis,it|be,pn|vvz
true,true,j
she,she,pns
is,be,vvz
a,a,d
right,right,j
good,good,j
Princes,prince,n2
and,and,cc
a,a,d
just,just,j
one,one,pi
And,and,cc
Florence,Florence,n1-nn
when,when,crq-cs
she,she,pns
sets,set,vvz
has,have,vvz
lost,lose,vvn
a,a,d
Planet,planet,n1
Bar.,Bar.,n-ab
My,my,po
Mistress,mistress,n1
I,I,pns
tell,tell,vvb
thee,thou,pno
gentle,gentle,j
Nephew,nephew,n1
There,there,av
is,be,vvz
not,not,xx
such,such,d
another,another,d
friend,friend,n1
to,to,acp-p
goodness,goodness,n1
To,to,acp-p
downright,downright,j
dealing,deal,n1_vg
to,to,acp-p
faith,faith,n1
and,and,cc
true,true,j
heart,heart,n1
Within,within,acp-p
the,the,d
Christian,christian,j-nn
confines,confine,n2
Before,before,acp-cs
she,she,pns
blessed,bless,vvn
us,we,pno
Justice,justice,n1
was,be,vvd
a,a,d
Cheesemonger,cheesemonger,n1
a,a,d
mere,mere,j
Cheesemonger,cheesemonger,n1
Weighed,weigh,vvn
nothing,nothing,pi-x
to,to,acp-p
the,the,d
World,world,n1
but,but,acp-p
mites,mite,n2
and,and,cc
maggots,maggot,n2
And,and,cc
a,a,d
main,main,j
stink,stink,n1
Law,law,n1
like,like,acp-p
a,a,d
Horse-courser,horse-courser,n1
Her,her,po
rules,rule,n2
and,and,cc
precepts,precept,n2
hung,hang,vvn
with,with,acp-p
gauds,gaud,n2
and,and,cc
ribbons,ribbon,n2
And,and,cc
pampered,pamper,j_vn
up,up,acp-p
to,to,acp-p
cozen,cozen,vvi
him,he,pno
that,that,cs
bought,buy,vvd
her,she,pno
When,when,crq-cs
she,she,pns
herself,herself,px
was,be,vvd
hackney,hackney,n1
lame,lame,j
and,and,cc
foundered,founder,vvn
Sil.,Sil.,n-ab
But,but,acp-cc
the,the,d
sweet,sweet,j
Lady,lady,n1
Belvidere,Belvidere,n1-nn
the,the,d
bright,bright,j
one,one,pi
Bar.,Bar.,n-ab
ay,ay,uh
there's,there|be,av|vvz
a,a,d
face,face,n1
indeed,indeed,av
Oh,oh,uh
my,my,po
dear,dear,j
Nephew,nephew,n1
Could,can,vmd
a,a,d
young,young,j
fellow,fellow,n1
of,of,acp-p
thy,thy,po
fiery,fiery,j
mettle,mettle,n1
Freeze,freeze,vvb
and,and,cc
that,that,d
Lady,lady,n1
in,in,acp-p
his,his,po
arms,arm,n2
Sil.,Sil.,n-ab
I,I,pns
think,think,vvb
not,not,xx
Bar.,Bar.,n-ab
Thou,thou,pns
hast,have,vv2
a,a,d
perilous,perilous,j
judgement,judgement,n1
but,but,acp-cc
let,let,vvb
that,that,d
pass,pass,vvi
She,she,pns
is,be,vvz
as,as,acp-av
truly,true,av_j
virtuous,virtuous,j
fair,fair,j
and,and,cc
noble,noble,j
As,as,acp-cs
her,her,po
great,great,j
Mother's,mother|be,n1|vvz
good,good,j
and,and,cc
that's,that|be,d|vvz
not,not,xx
ordinary,ordinary,j
Sil.,Sil.,n-ab
But,but,acp-cc
why,why,crq-cs
so,so,av
many,many,d
Princes,prince,n2
and,and,cc
so,so,av
great,great,j
ones,one,pi2
Being,be,vvg
Suitors,suitor,n2
should,shall,vmd
the,the,d
Duchess,duchess,n1
deny,deny,vvb
to,to,acp-cs
match,match,vvi
her,she,pno
Bar.,Bar.,n-ab
She,she,pns
is,be,vvz
a,a,d
Jewel,jewel,n1
man,man,n1
hangs,hang,vvz
in,in,acp-p
her,her,po
bosom,bosom,n1
Her,her,po
only,only,j
Child,child,n1
with,with,acp-p
her,her,po
eyes,eye,n2
she,she,pns
sees,see,vvz
all,all,d
things,thing,n2
Discourses,discourse,n2
with,with,acp-p
her,her,po
tongue,tongue,n1
and,and,cc
pluck,pluck,vvi
her,she,pno
from,from,acp-p
her,she,pno
So,so,av
dotingly,dote,av_vg
the,the,d
old,old,j
one,one,pi
loves,love,vvz
her,her,po
young,young,j
one,one,pi
You,you,pn
pluck,pluck,vvb
her,her,po
heart,heart,n1
out,out,av
too,too,av
Besides,beside,acp-av
of,of,acp-p
late,late,j
days,day,n2
The,the,d
Duke,duke,n1
of,of,acp-p
Milan,Milan,n1-nn
who,who,crq-r
could,can,vmd
never,never,av-x
win,win,vvi
her,she,pno
By,by,acp-p
love,love,n1
nor,nor,cc-x
treaty,treaty,n1
laid,lay,vvd
a,a,d
close,close,j
train,train,n1
for,for,acp-p
her,she,pno
In,in,acp-p
her,her,po
own,own,d
private,private,j
walks,walk,n2
some,some,d
forty,forty,crd
Horsemen,horseman,n2
So,so,av
to,to,acp-cs
surprise,surprise,vvi
her,she,pno
which,which,crq-r
we,we,pns
found,find,vvd
and,and,cc
dealt,deal,vvd
with,with,acp-p
And,and,cc
sent,send,vvd
'em,they,pno
running,run,vvg
home,home,av_n
to,to,acp-p
the,the,d
Duke,duke,n1
their,their,po
Master,master,n1
Like,like,acp-p
Dogs,dog,n2
with,with,acp-p
bottles,bottle,n2
at,at,acp-p
their,their,po
tails,tail,n2
Sil.,Sil.,n-ab
Since,since,acp-p
that,that,d
I,I,pns
heard,hear,vvd
Sir,sir,n1
She,she,pns
has,have,vvz
sent,send,vvn
her,she,pno
to,to,acp-p
your,your,po
Citadel,citadel,n1
to,to,acp-cs
secure,secure,vvi
her,she,pno
My,my,po
cousin,cousin,n1
Rhodope,Rhodope,n1-nn
your,your,po
wife,wife,n1
attending,attend,vvg
her,she,pno
Bar.,Bar.,n-ab
You,you,pn
hear,hear,vvb
a,a,d
truth,truth,n1
and,and,cc
all,all,d
convenient,convenient,j
pleasures,pleasure,n2
Are,be,vvb
there,there,av
proportioned,proportion,vvn
for,for,acp-p
her,she,pno
Sil.,Sil.,n-ab
I,I,pns
would,will,vmd
feign,feign,vvi
Sir,sir,n1
Like,like,acp-p
one,one,pi
that,that,cs
owes,owe,vvz
a,a,d
duteous,duteous,j
service,service,n1
to,to,acp-p
her,she,pno
Sometimes,sometime,av
so,so,av
please,please,vvb
you,you,pn
Bar.,Bar.,n-ab
Gentle,gentle,j
Cousin,cousin,n1
pardon,pardon,vvb
me,i,pno
I,I,pns
must,must,vmb
not,not,xx
nor,nor,cc-x
you,you,pn
must,must,vmb
not,not,xx
dare,dare,vvi
to,to,acp-cs
offer,offer,vvi
The,the,d
last,last,ord
Edict,edict,n1
lies,lie,vvz
on,on,acp-p
his,his,po
life,life,n1
pursues,pursue,vvz
it,it,pn
Your,your,po
friend,friend,n1
Sir,sir,n1
to,to,acp-cs
command,command,vvi
abroad,abroad,av
to,to,acp-cs
love,love,vvi
you,you,pn
To,to,acp-cs
lend,lend,vvi
ye,you,pn
any,any,d
thing,thing,n1
I,I,pns
have,have,vvb
to,to,acp-cs
wait,wait,vvi
upon,upon,acp-p
ye,you,pn
But,but,acp-cc
in,in,acp-p
the,the,d
Citadel,citadel,n1
where,where,crq-cs
I,I,pns
stand,stand,vvb
charged,charge,vvd
Not,not,xx
a,a,d
bit,bit,n1
upon,upon,acp-p
a,a,d
march,march,n1
no,no,d-x
service,service,n1
Sir,sir,n1
No,no,uh-x
good,good,j
Sir,sir,n1
by,by,acp-p
no,no,d-x
means,mean,n2
I,I,pns
kiss,kiss,vvb
your,your,po
hands,hand,n2
Sir,sir,n1
Exit,Exit,fw-la
Sil.,Sil.,n-ab
To,to,acp-p
your,your,po
keeping,keep,n1_vg
only,only,av_j
none,none,pi-x
else,else,av
to,to,acp-cs
look,look,vvi
upon,upon,acp-p
her,she,pno
None,none,pi-x
but,but,acp-p
Bartello,Bartello,n1-nn
worthy,worthy,j
her,her,po
attendance,attendance,n1
No,no,d-x
faith,faith,n1
but,but,acp-p
his,his,po
to,to,acp-p
serve,serve,vvi
her,she,pno
O,o,uh
Belvidere,Belvidere,n1-nn
Thou,thou,pns
Saint,saint,n1
to,to,acp-p
whom,who,crq-ro
my,my,po
youth,youth,n1
is,be,vvz
sacrificed,sacrifice,vvn
Thou,thou,pns
point,point,n1
to,to,acp-p
which,which,crq-r
my,my,po
life,life,n1
turns,turn,vvz
and,and,cc
my,my,po
fortune,fortune,n1
