standard,lemma,postag
A,a,d
CHASTE,chaste,j
maid,maid,n1
IN,in,acp-p
Cheapside,Cheapside,n1-nn
A,a,d
Pleasant,pleasant,j
conceited,conceit,j_vn
Comedy,comedy,n1
never,never,av-x
before,before,acp-p
printed,print,vvn
As,as,acp-p
it,it,pn
hath,have,vvz
been,be,vvn
often,often,av
acted,act,vvn
at,at,acp-p
the,the,d
Swan,swan,n1
on,on,acp-p
the,the,d
Bankside,Bankside,n1-nn
by,by,acp-p
the,the,d
Lady,lady,n1
ELIZABETH,Elizabeth,n1-nn
her,her,po
Servants,servant,n2
By,by,acp-p
THOMAS,Thomas,n1-nn
Middleton,MIDELTON,n1-nn
Gent.,Gent.,n-ab
LONDON,London,n1-nn
Printed,print,vvn
for,for,acp-p
Francis,Francis,n1-nn
Constable,constable,n1-nn
dwelling,dwell,vvg
at,at,acp-p
the,the,d
sign,sign,n1
of,of,acp-p
the,the,d
Crane,crane,n1
in,in,acp-p
Paul's,Paul,n1g-nn
Churchyard,churchyard,n1
1630,1630,crd
The,the,d
Names,name,n2
of,of,acp-p
the,the,d
principal,principal,j
Persons,person,n2
Mr.,mr.,n1
YELLOWHAMMER,yellowhammer,n1-nn
A,a,d
goldsmith,goldsmith,n1
Maudlin,Maudlin,n1-nn
His,his,po
Wife,wife,n1
TIM,Tim,n1-nn
Their,their,po
Son,son,n1
MOLL,Moll,n1-nn
Their,their,po
Daughter,daughter,n1
TUTOR,tutor,n1
to,to,acp-p
TIM,Tim,n1-nn
Sir,sir,n1
WALTER,Walter,n1-nn
WHOREHOUND,whorehound,n1
A,a,d
Suitor,suitor,n1
to,to,acp-p
MOLL,Moll,n1-nn
Sir,sir,n1
OLIVER,Oliver,n1-nn
KIXE,Kixe,n1-nn
and,and,cc
his,his,po
Wife,wife,n1
Kin,kin,n1
to,to,acp-p
Sir,sir,n1
WALT.,walt.,n-ab
Mr.,mr.,n1
ALLWIT,Allwit,n1-nn
and,and,cc
his,his,po
Wife,wife,n1
Whom,who,crq-ro
Sir,sir,n1
WALT.,walt.,n-ab
keeps,keep,vvz
WELCH,Welch,n1-nn
GENTLEWOMAN,gentlewoman,n1
Sir,sir,n1
WALT.,walt.,n-ab
Whore,whore,n1
WAT,Wat,n1-nn
and,and,cc
Nick,Nick,n1-nn
His,his,po
Bastards,bastard,n2
DAVY,Davy,n1-nn
dahumma,dahumma,n1-nn
His,his,po
Man,man,n1
TUCHWOOD,Tuchwood,n1-nn
SENIOR,senior,j
and,and,cc
his,his,po
Wife,wife,n1
A,a,d
decayed,decay,j_vn
Gentleman,gentleman,n1
TUCHWOOD,Tuchwood,n1-nn
JUNIOR,Junior,j
Another,another,d
Suitor,suitor,n1
to,to,acp-p
MOLL,Moll,n1-nn
2,2,crd
PROMOTERS,promoter,n2
SERVANTS,servant,n2
WATERMEN,waterman,n2
A,a,d
Chaste,chaste,j
Maid,maid,n1
in,in,acp-p
Cheapside,Cheapside,n1-nn
Actus,actus,fw-la
Primus,primus,fw-la
Enter,enter,vvb
Maudlin,Maudlin,n1-nn
and,and,cc
Moll,Moll,n1-nn
a,a,d
Shop,shop,n1
being,be,vvg
discovered,discover,vvn
Maudline,Maudlin,n1-nn
Have,have,vvb
you,you,pn
played,play,vvn
over,over,acp-p
all,all,d
your,your,po
old,old,j
