standard,lemma,postag
HISTRIOMASTIX,histriomastix,n1
Or,or,cc
THE,the,d
PLAYER,player,n1
whipped,whip,vvd
Printed,print,j_vn
for,for,acp-cs
Th.,Th.,n1-nn
THORP,Thorp,n1-nn
1610,1610,crd
HISTRIOMASTIX,histriomastix,n1
Actus,actus,fw-la
primi,primi,fw-la
Scaena,scaena,fw-la
prima,prima,fw-la
Enter,enter,vvb
Peace,peace,n1
Grammar,grammar,n1
Logic,logic,n1
Rhetoric,rhetoric,n1
arithmetic,arithmetic,n1
Geometry,geometry,n1
Music,music,n1
and,and,cc
Astronomy,astronomy,n1
Peace,Peace,n1
Unmask,unmask,vvb
thy,thy,po
face,face,n1
thou,thou,pns
minister,minister,n1
of,of,acp-p
Time,time,n1
Look,look,vvb
forth,forth,av
bright,bright,j
mirror,mirror,n1
let,let,vvb
thy,thy,po
golded,gold,j_vn
hand,hand,n1
Ride,ride,vvb
with,with,acp-p
distinctless,distinctless,j
motion,motion,n1
on,on,acp-p
the,the,d
eyes,eye,n2
Of,of,acp-p
this,this,d
fair,fair,j
Chorus,chorus,n1
till,till,acp-cs
the,the,d
Reign,reign,n1
of,of,acp-p
Peace,peace,n1
Hath,have,vvz
propagated,propagate,vvn
Plenty,plenty,n1
and,and,cc
increase,increase,vvi
Now,now,av
sit,sit,vvb
we,we,pns
high,high,j
triumphant,triumphant,j
in,in,acp-p
our,our,po
sway,sway,n1
Encircled,encircle,vvn
with,with,acp-p
the,the,d
sevenfold,sevenfold,j
flower,flower,n1
of,of,acp-p
Art,art,n1
To,to,acp-cs
tread,tread,vvi
on,on,acp-p
Barbarism,barbarism,n1
with,with,acp-p
silver,silver,n1
feet,foot,n2
These,these,d
these,these,d
are,be,vvb
adjuncts,adjunct,n2
fit,fit,j
to,to,acp-cs
wait,wait,vvi
on,on,acp-p
Peace,peace,n1
Who,who,crq-r
being,be,vvg
courted,court,vvn
by,by,acp-p
most,most,d-s
searching,search,vvg
spirits,spirit,n2
Have,have,vvb
always,always,av
borne,bear,vvn
themselves,themselves,px
in,in,acp-p
Godlike,godlike,j
state,state,n1
With,with,acp-p
lofty,lofty,j
foreheads,forehead,n2
higher,high,j-c
than,than,cs
the,the,d
stars,star,n2
Draw,draw,vvb
near,near,av_j
fair,fair,j
Daughters,daughter,n2
of,of,acp-p
eternity,eternity,n1
Your,your,po
Fostress,fostress,n1
Peace,peace,n1
is,be,vvz
like,like,acp-p
the,the,d
aged,age,j_vn
Nurse,nurse,n1
Grown,grow,vvn
proud,proud,j
to,to,acp-cs
see,see,vvi
her,her,po
Children,child,n2
flourish,flourish,vvi
thus,thus,av
Gram.,Gram.,n-ab
We,we,pns
know,know,vvb
not,not,xx
how,how,crq-cs
to,to,acp-cs
turn,turn,vvi
these,these,d
bounties,bounty,n2
back,back,av
But,but,acp-cc
with,with,acp-p
continuance,continuance,n1
of,of,acp-p
obsequious,obsequious,j
love,love,n1
Whilst,while,cs
Peace,peace,n1
triumphs,triumph,vvz
it,it,pn
lies,lie,vvz
in,in,acp-p
Grammars,grammar,n2
might,may,vmd
To,to,acp-cs
make,make,vvi
the,the,d
rudest,rude,j-s
brain,brain,n1
both,both,d
speak,speak,vvi
and,and,cc
write,write,vvi
Log.,Log.,n-ab
Logic,logic,n1
shall,shall,vmb
furnish,furnish,vvi
them,they,pno
with,with,acp-p
Argument,argument,n1
And,and,cc
make,make,vvi
them,they,pno
apt,apt,j
and,and,cc
able,able,j
to,to,acp-cs
dispute,dispute,vvi
The,the,d
theme,theme,n1
shall,shall,vmb
be,be,vvi
of,of,acp-p
Peace,peace,n1
and,and,cc
her,her,po
sweet,sweet,j
name,name,n1
And,and,cc
every,every,d
Syllogism,syllogism,n1
shall,shall,vmb
prove,prove,vvi
her,her,po
fame,fame,n1
Rhe.,Rhe.,n-ab
Rhetoric,rhetoric,n1
will,will,vmb
put,put,vvi
her,her,po
richest,rich,j-s
habit,habit,n1
on,on,acp-av
Of,of,acp-p
gestures,gesture,n2
Voice,voice,n1
and,and,cc
exornation,exornation,n1
Her,her,po
Tropes,trope,n2
