standard,lemma,postag
Endymion,Endymion,n1-nn
The,the,d
Man,man,n1
in,in,acp-p
the,the,d
Moon,moon,n1
Played,play,vvn
before,before,acp-p
the,the,d
queen's,queen,n1g
Majesty,majesty,n1
at,at,acp-p
Greenwich,Greenwich,n1-nn
on,on,acp-p
Candlemas,Candlemas,n1-nn
day,day,n1
at,at,acp-p
night,night,n1
by,by,acp-p
the,the,d
Children,child,n2
of,of,acp-p
Paul's,Paul,n1g-nn
NOSCE,nosce,fw-la
TE,te,fw-la
IPSUM,ipsum,fw-la
NE,ne,fw-fr
QUID,quid,fw-la
NIMIS,nimis,fw-la
LOVE,love,n1
AND,and,cc
LIVE,live,vvb
AT,at,acp-p
LONDON,London,n1-nn
Printed,print,vvn
by,by,acp-p
I.,I.,n-ab
Charlewood,Charlewood,n1-nn
for,for,acp-p
the,the,d
widow,widow,n1
Broome,Broome,n1-nn
1591,1591.,crd
❧,❧,sy
The,the,d
Printer,Printer,n1
to,to,acp-p
the,the,d
Reader,reader,n1
Since,since,acp-p
the,the,d
Plays,play,n2
in,in,acp-p
Paul's,Paul,n1g-nn
were,be,vvd
dissolved,dissolve,vvn
there,there,av
are,be,vvb
certain,certain,j
Comedies,comedy,n2
come,come,vvb
to,to,acp-p
my,my,po
hands,hand,n2
by,by,acp-p
chance,chance,n1
which,which,crq-r
were,be,vvd
presented,present,vvn
before,before,acp-p
her,her,po
Majesty,majesty,n1
at,at,acp-p
several,several,j
times,time,n2
by,by,acp-p
the,the,d
children,child,n2
of,of,acp-p
Paul's,Paul,n1g-nn
This,this,d
is,be,vvz
the,the,d
first,first,ord
and,and,cc
if,if,cs
in,in,acp-p
any,any,d
place,place,n1
it,it,pn
shall,shall,vmb
displease,displease,vvi
I,I,pns
will,will,vmb
take,take,vvi
more,more,d-c
pains,pain,n2
to,to,acp-cs
perfect,perfect,vvi
the,the,d
next,next,ord
I,I,pns
refer,refer,vvb
it,it,pn
to,to,acp-p
thy,thy,po
indifferent,indifferent,j
judgement,judgement,n1
to,to,acp-cs
peruse,peruse,vvi
whom,who,crq-ro
I,I,pns
would,will,vmd
willingly,willing,av_j
please,please,vvi
And,and,cc
