standard,lemma,postag
The,the,d
two,two,crd
tragical,tragical,j
Discourses,discourse,n2
of,of,acp-p
mighty,mighty,j
Tamburlaine,Tamburlaine,n1-nn
the,the,d
Scythian,scythian,j-nn
Shepherd,shepherd,n1
etc.,etc,n-ab
The,the,d
Prologue,prologue,n1
FRom,from,acp-p
jigging,jig,j_vg
veins,vein,n2
of,of,acp-p
rhyming,rhyme,j_vg
mother,mother,n1
wits,wit,n2
And,and,cc
such,such,d
conceits,conceit,n2
as,as,acp-cs
clownage,clownage,n1
keeps,keep,vvz
in,in,acp-p
pay,pay,n1
we'll,we|will,pns|vmb
lead,lead,vvi
you,you,pn
to,to,acp-p
the,the,d
stately,stately,j
tent,tent,n1
of,of,acp-p
War,war,n1
Where,where,crq-cs
you,you,pn
shall,shall,vmb
hear,hear,vvi
the,the,d
Scythian,scythian,j-nn
Tamburlaine,Tamburlaine,n1-nn
Threatening,threaten,vvg
the,the,d
world,world,n1
with,with,acp-p
high,high,j
astounding,astound,j_vg
terms,term,n2
And,and,cc
scourging,scourge,vvg
kingdoms,kingdom,n2
with,with,acp-p
his,his,po
conquering,conquer,j_vg
sword,sword,n1
View,view,vvb
but,but,acp-av
his,his,po
picture,picture,n1
in,in,acp-p
this,this,d
tragic,tragic,j
glass,glass,n1
And,and,cc
then,then,av
applaud,applaud,vvb
his,his,po
fortunes,fortune,n2
as,as,acp-cs
you,you,pn
please,please,vvb
Actus,actus,fw-la
1.,1.,crd
Scaena,scaena,fw-la
1.,1.,crd
Mycetes,Mycetes,n1-nn
Cosroe,Cosroe,n1-nn
Meander,Meander,n1-nn
Theridamas,Theridamas,n1-nn
Ortygius,Ortygius,n1-nn
Ceneus,Ceneus,n1-nn
with,with,acp-p
others,other,pi2_d
Mycetes,Mycetes,n1-nn
BRother,brother,n1
Cosroe,Cosroe,n1-nn
I,I,pns
find,find,vvb
myself,myself,px
aggrieved,aggrieve,vvn
Yet,yet,av
insufficient,insufficient,j
to,to,acp-cs
express,express,vvi
the,the,d
same,same,d
For,for,acp-cs
it,it,pn
requires,require,vvz
a,a,d
great,great,j
and,and,cc
thundering,thunder,j_vg
speech,speech,n1
Good,good,j
brother,brother,n1
tell,tell,vvi
the,the,d
cause,cause,n1
unto,unto,acp-p
my,my,po
Lords,lord,n2
I,I,pns
know,know,vvb
you,you,pn
have,have,vvb
a,a,d
better,better,j-c
wit,wit,n1
than,than,cs
I,I,pns
Cos.,Cos.,n-ab
Unhappy,unhappy,j
Persia,Persia,n1-nn
that,that,cs
in,in,acp-p
former,former,j
age,age,n1
Hast,have,vv2
been,be,vvn
the,the,d
seat,seat,n1
of,of,acp-p
mighty,mighty,j
Conquerors,conqueror,n2
That,that,cs
in,in,acp-p
their,their,po
prowess,prowess,n1
and,and,cc
their,their,po
policies,policy,n2
Have,have,vvb
triumphed,triumph,vvn
over,over,acp-p
Afrique,Africa,n1-nn
and,and,cc
the,the,d
bounds,bound,n2
Of,of,acp-p
Europe,Europe,n1-nn
where,where,crq-cs
the,the,d
Sun,sun,n1
dares,dare,vvz
scarce,scarce,av_j
appear,appear,vvi
For,for,acp-p
freezing,freeze,j_vg
meteors,meteor,n2
and,and,cc
congealed,congeal,j_vn
cold,cold,n1_j
Now,now,av
to,to,acp-cs
be,be,vvi
ruled,rule,vvn
and,and,cc
governed,govern,vvn
by,by,acp-p
a,a,d
man,man,n1
At,at,acp-p
whose,who,crq-rg
birthday,birthday,n1
Cynthia,Cynthia,n1-nn
with,with,acp-p
