standard,lemma,postag
MIDAS,Midas,n1-nn
PLAYED,play,vvn
BEFORE,before,acp-p
THE,the,d
queen's,qveenes,n1g
majesty,majesty,n1
UPON,upon,acp-p
Twelve,twelve,crd
DAY,day,n1
AT,at,acp-p
night,night,n1
By,by,acp-p
the,the,d
Children,child,n2
of,of,acp-p
Paul's,Paul,n1g-nn
LONDON,London,n1-nn
Printed,print,vvn
by,by,acp-p
Thomas,Thomas,n1-nn
Scarlet,scarlet,j
for,for,acp-cs
I.,I.,n-ab
B.,B.,n-ab
and,and,cc
are,be,vvb
to,to,acp-cs
be,be,vvi
sold,sell,vvn
in,in,acp-p
Paul's,Paul,n1g-nn
Churchyard,churchyard,n1
at,at,acp-p
the,the,d
sign,sign,n1
of,of,acp-p
the,the,d
Bible,bible,n1
1592,1592.,crd
THE,the,d
prologue,prologue,n1
IN,in,acp-p
Paul's,Paul,n1g-nn
gentlemen,gentleman,n2
so,so,av
nice,nice,j
is,be,vvz
the,the,d
world,world,n1
that,that,cs
for,for,acp-p
apparel,apparel,n1
there,there,av
is,be,vvz
no,no,d-x
fashion,fashion,n1
for,for,acp-p
Music,music,n1
no,no,d-x
instrument,instrument,n1
for,for,acp-p
diet,diet,n1
no,no,d-x
delicate,delicate,j
for,for,acp-cs
plays,play,vvz
no,no,d-x
invention,invention,n1
but,but,acp-cc
breedeth,breed,vvz
satiety,satiety,n1
before,before,acp-p
noon,noon,n1
and,and,cc
contempt,contempt,n1
before,before,acp-p
night,night,n1
Come,Come,vvb
to,to,acp-p
the,the,d
Tailor,tailor,n1
he,he,pns
is,be,vvz
gone,go,vvn
to,to,acp-p
the,the,d
Painters,painter,n2
to,to,acp-cs
learn,learn,vvi
how,how,crq-cs
more,more,d-c
cunning,cunning,j
may,may,vmb
lurk,lurk,vvi
in,in,acp-p
the,the,d
fashion,fashion,n1
then,then,av
can,can,vmb
be,be,vvi
expressed,express,vvn
in,in,acp-p
the,the,d
making,make,n1_vg
Ask,ask,vvb
the,the,d
Musicians,musician,n2
they,they,pns
will,will,vmb
say,say,vvi
their,their,po
heads,head,n2
ache,ache,vvi
with,with,acp-p
devising,devise,vvg
notes,note,n2
beyond,beyond,acp-p
Ela,Ela,n1-nn
inquire,inquire,vvb
at,at,acp-p
Ordinaries,ordinary,n2
there,there,av
must,must,vmb
be,be,vvi
salads,salad,n2
for,for,acp-p
the,the,d
Italian,italian,j-nn
picktooths,picktooth,n2
for,for,acp-p
the,the,d
Spaniard,Spaniard,n1-nn
pots,pot,n2
for,for,acp-p
the,the,d
German,German,j-nn
porridge,porridge,n1
for,for,acp-p
the,the,d
Englishman,Englishman,n1-nn
At,at,acp-p
our,our,po
exercises,exercise,n2
Soldiers,soldier,n2
call,call,vvb
for,for,acp-p
Tragedies,tragedy,n2
their,their,po
object,object,n1
is,be,vvz
blood,blood,n1
Courtiers,courtier,n2
for,for,acp-p
Comedies,comedy,n2
their,their,po
subject,subject,j
is,be,vvz
love,love,n1
Countrymen,countryman,n2
for,for,acp-p
pastorals,pastoral,n2
Shepherds,shepherd,n2
are,be,vvb
their,their,po
Saints,saint,n2
Traffic,traffic,n1
and,and,cc
travel,travel,n1
hath,have,vvz
woven,weave,vvn
the,the,d
nature,nature,n1
of,of,acp-p
all,all,d
Nations,nation,n2
into,into,acp-p
ours,we,png
and,and,cc
made,make,vvd
this,this,d
land,land,n1
like,like,acp-p
Arras,arras,n1
full,full,j
of,of,acp-p
device,devise,n1
which,which,crq-r
was,be,vvd
Broadcloth,broadcloth,n1
full,full,j
of,of,acp-p
workmanship,workmanship,n1
Time,time,n1
hath,have,vvz
confounded,confound,vvn
our,our,po
minds,mind,n2
our,our,po
minds,mind,n2
the,the,d
matter,matter,n1
but,but,acp-cc
all,all,d
cometh,come,vvz
to,to,acp-p
this,this,d
pass,pass,n1
that,that,cs
what,what,crq-r
heretofore,heretofore,av
hath,have,vvz
been,be,vvn
served,serve,vvn
in,in,acp-p
several,several,j
dishes,dish,n2
for,for,acp-p
a,a,d
feast,feast,n1
is,be,vvz
now,now,av
minced,mince,vvn
in,in,acp-p
a,a,d
charger,charger,n1
for,for,acp-p
a,a,d
Gallimaufry,gallimaufry,n1
If,if,cs
we,we,pns
present,present,vvb
a,a,d
mingle-mangle,mingle-mangle,j
our,our,po
fault,fault,n1
is,be,vvz
