standard,lemma,postag
Had,have,vvd
made,make,vvn
provision,provision,n1
for,for,acp-p
her,she,pno
following,follow,vvg
me,i,pno
And,and,cc
soon,soon,av
and,and,cc
safe,safe,j
arrivèd,arrive,vvn
where,where,crq-cs
I,i,pns
was,be,vvd
There,there,acp-av
had,have,vvd
she,she,pns
not,not,xx
been,be,vvn
long,long,av_j
but,but,acp-cc
she,she,pns
became,become,vvd
A,a,d
joyful,joyful,j
mother,mother,n1
of,of,acp-p
two,two,crd
goodly,goodly,j
sons,son,n2
And,and,cc
which,which,crq-r
was,be,vvd
strange,strange,j
the,the,d
one,one,pi
so,so,av
like,like,acp-p
the,the,d
other,other,pi_d
As,as,acp-cs
could,can,vmd
not,not,xx
be,be,vvi
distinguished,distinguish,vvn
but,but,acp-p
by,by,acp-p
names,name,n2
That,that,d
very,very,j
hour,hour,n1
and,and,cc
in,in,acp-p
the,the,d
selfsame,selfsame,d
inn,inn,n1
A,a,d
mean,mean,j
woman,woman,n1
was,be,vvd
deliverèd,deliver,vvn
Of,of,acp-p
such,such,d
a,a,d
burden,burden,n1
male,male,j
twins,twin,n2
both,both,av_d
alike,alike,av
Those,those,d
for,for,acp-p
their,their,po
parents,parent,n2
were,be,vvd
exceeding,exceed,av_vg
poor,poor,j
I,i,pns
bought,buy,vvd
and,and,cc
brought,bring,vvd
up,up,acp-av
to,to,acp-cs
attend,attend,vvi
my,my,po
sons,son,n2
My,my,po
wife,wife,n1
not,not,xx
meanly,mean,av_j
proud,proud,j
of,of,acp-p
two,two,crd
such,such,d
boys,boy,n2
Made,make,vvd
daily,daily,j
motions,motion,n2
for,for,acp-p
our,our,po
home,home,n1
return,return,n1
Unwilling,unwilling,j
I,i,pns
agreed,agree,vvd
Alas,alas,uh
too,too,av
soon,soon,av
We,we,pns
came,come,vvd
aboard,aboard,acp-av
A,a,d
league,league,n1
from,from,acp-p
Epidamium,Epidamnum,n1-nn
had,have,vvd
we,we,pns
