standard,lemma,postag
patient,patient,j
expectation,expectation,n1
To,to,acp-cs
see,see,vvi
great,great,j
Pompey,Pompey,n1-nn
pass,pass,vvb
the,the,d
streets,street,n2
of,of,acp-p
Rome,Rome,n1-nn
And,and,cc
when,when,crq-cs
you,you,pn
saw,see,vvd
his,his,po
chariot,chariot,n1
but,but,acp-av
appear,appear,vvi
Have,have,vvb
you,you,pn
not,not,xx
made,make,vvn
an,a,d
universal,universal,j
shout,shout,n1
That,that,d
Tiber,Tiber,n1-nn
trembled,tremble,vvd
underneath,underneath,acp-p
her,her,po
banks,bank,n2
To,to,acp-cs
hear,hear,vvi
the,the,d
replication,replication,n1
of,of,acp-p
your,your,po
sounds,sound,n2
Made,make,vvn
in,in,acp-p
her,her,po
concave,concave,j
shores,shore,n2
And,and,cc
do,do,vvb
you,you,pn
now,now,av
put,put,vvi
on,on,acp-p
your,your,po
best,best,j-s
attire,attire,n1
And,and,cc
do,do,vvb
you,you,pn
now,now,av
cull,cull,vvi
out,out,av
a,a,d
holiday,holiday,n1
And,and,cc
do,do,vvb
you,you,pn
now,now,av
strew,strew,vvi
flowers,flower,n2
in,in,acp-p
his,his,po
way,way,n1
That,that,cs
comes,come,vvz
in,in,acp-p
triumph,triumph,n1
over,over,acp-p
Pompey's,Pompey,n1g-nn
blood,blood,n1
Be,be,vvb
gone,go,vvn
Run,run,vvb
to,to,acp-p
your,your,po
houses,house,n2
fall,fall,vvb
upon,upon,acp-p
your,your,po
knees,knee,n2
Pray,pray,vvb
to,to,acp-p
the,the,d
gods,god,n2
to,to,acp-cs
intermit,intermit,vvi
the,the,d
plague,plague,n1
That,that,cs
needs,needs,av
must,must,vmb
light,light,vvi
on,on,acp-p
this,this,d
ingratitude,ingratitude,n1
FLAVIUS,,
Go,go,vvb
go,go,vvb
good,good,j
countrymen,countryman,n2
and,and,cc
for,for,acp-p
this,this,d
fault,fault,n1
Assemble,assemble,vvb
all,all,d
the,the,d
poor,poor,j
men,man,n2
of,of,acp-p
your,your,po
sort,sort,n1
Draw,draw,vvb
them,they,pno
to,to,acp-p
Tiber,Tiber,n1-nn
banks,bank,n2
and,and,cc
weep,weep,vvb
your,your,po
tears,tear,n2
Into,into,acp-p
the,the,d
channel,channel,n1
till,till,acp-cs
the,the,d
lowest,low,j-s
stream,stream,n1
Do,do,vvb
kiss,kiss,vvi
the,the,d
most,most,av-s_d
exalted,exalt,j_vn
shores,shore,n2
of,of,acp-p
all,all,d
All,,
the,,
Commoners,,
exit,,
See,see,vvb
whe'er,whether,cs
their,their,po
basest,base,j-s
mettle,mettle,n1
be,be,vvb
not,not,xx
moved,move,vvn
They,they,pns
vanish,vanish,vvb
tongue-tied,tongue-tied,j
in,in,acp-p
their,their,po
guiltiness,guiltiness,n1
Go,go,vvb
you,you,pn
down,down,acp-av
that,that,d
way,way,n1
towards,towards,acp-p
the,the,d
Capitol,Capitol,n1-nn
This,this,d
way,way,n1
will,will,vmb
I,i,pns
Disrobe,disrobe,vvb
the,the,d
images,image,n2
If,if,cs
you,you,pn
do,do,vvb
find,find,vvi
them,they,pno
decked,deck,vvn
with,with,acp-p
ceremonies,ceremony,n2
MARULLUS,,
May,may,vmb
we,we,pns
do,do,vvi
so,so,av
You,you,pn
know,know,vvb
it,it,pn
is,be,vvz
the,the,d
feast,feast,n1
of,of,acp-p
Lupercal,Lupercal,n1-nn
FLAVIUS,,
It,it,pn
is,be,vvz
no,no,d-x
matter,matter,n1
Let,let,vvb
no,no,d-x
images,image,n2
Be,be,vvi
hung,hang,vvn
with,with,acp-p
Caesar's,Caesar,n1g-nn
trophies,trophy,n2
I'll,i|will,pns|vmb
about,about,acp-av
And,and,cc
drive,drive,vvb
away,away,av
the,the,d
vulgar,vulgar,j
from,from,acp-p
the,the,d
streets,street,n2
So,so,av
do,do,vvb
you,you,pn
too,too,av
where,where,crq-cs
you,you,pn
perceive,perceive,vvb
