standard,lemma,postag
THE,the,d
Second,second,ord
Part,part,n1
of,of,acp-p
the,the,d
Iron,iron,n1
Age,age,n1
Which,which,crq-r
containeth,contain,vvz
the,the,d
death,death,n1
of,of,acp-p
Penthesilea,Penthesilea,n1-nn
Paris,Paris,n1-nn
Priam,Priam,n1-nn
and,and,cc
Hecuba,Hecuba,n1-nn
The,the,d
burning,burn,n1_vg
of,of,acp-p
Troy,Troy,n1-nn
The,the,d
deaths,death,n2
of,of,acp-p
Agamemnon,Agamemnon,n1-nn
Menelaus,Menelaus,n1-nn
Clytaemnestra,Clytaemnestra,n1-nn
Helena,Helena,n1-nn
Orestes,Orestes,n1-nn
Aegisthus,Aegisthus,n1-nn
Pylades,Pylades,n1-nn
King,king,n1
Diomed,Diomedes,n1-nn
Pyrrhus,Pyrrhus,n1-nn
Cethus,Cethus,n1-nn
Sinon,Sinon,n1-nn
Thersites,Thersites,n1-nn
etc.,etc,n-ab
Written,write,vvn
by,by,acp-p
THOMAS,Thomas,n1-nn
HEYWOOD,Heywood,n1-nn
Aut,aut,fw-la
prodesse,prodesse,fw-la
solent,solent,fw-la
aut,aut,fw-la
Delectare,delectare,fw-la
Printed,print,j_vn
at,at,acp-p
London,London,n1-nn
by,by,acp-p
Nicholas,Nicholas,n1-nn
Okes,Okes,n1-nn
1632,1632,crd
dramatis,drama,fw-la
personae,personae,fw-la
New,new,j
persons,person,n2
not,not,xx
presented,present,vvn
in,in,acp-p
the,the,d
former,former,j
part,part,n1
of,of,acp-p
this,this,d
History,history,n1
Pyrrhus,Pyrrhus,n1-nn
the,the,d
son,son,n1
of,of,acp-p
Achilles,Achilles,n1-nn
surnamed,surname,vvn
Neoptolemus,Neoptolemus,n1-nn
Sinon,Sinon,n1-nn
a,a,d
perjure,perjure,j
Greek,greek,j-nn
by,by,acp-p
whose,who,crq-rg
tears,tear,n2
Troy,Troy,n1-nn
was,be,vvd
set,set,vvn
on,on,acp-p
fire,fire,n1
Chorebus,Chorebus,n1-nn
a,a,d
Prince,prince,n1
who,who,crq-r
came,come,vvd
to,to,acp-p
the,the,d
wars,war,n2
for,for,acp-p
the,the,d
love,love,n1
of,of,acp-p
Cassandra,Cassandra,n1-nn
Laocoon,Laocoon,n1-nn
a,a,d
priest,priest,n1
of,of,acp-p
Apollo,Apollo,n1-nn
Polites,Polites,n1-nn
a,a,d
young,young,j
son,son,n1
of,of,acp-p
King,king,n1
Priam,Priam,n1-nn
and,and,cc
Queen,queen,n1
Hecuba,Hecuba,n1-nn
A,a,d
Trojan,trojan,j-nn
Citizen,citizen,n1
and,and,cc
his,his,po
wife,wife,n1
A,a,d
second,second,ord
Trojan,trojan,j-nn
soldiers,soldier,n2
of,of,acp-p
Greece,Greece,n1-nn
soldiers,soldier,n2
of,of,acp-p
Troy,Troy,n1-nn
The,the,d
Ghost,ghost,n1
of,of,acp-p
Hector,Hector,n1-nn
A,a,d
Lord,lord,n1
of,of,acp-p
Mycena,Mycena,n1-nn
A,a,d
Guard,guard,n1
Penthesilea,Penthesilea,n1-nn
Queen,queen,n1
of,of,acp-p
the,the,d
Amazons,Amazon,n2-nn
with,with,acp-p
her,her,po
train,train,n1
of,of,acp-p
Viragoes,virago,n2
Cethus',Cethus,n1g-nn
son,son,n1
to,to,acp-p
King,king,n1
Naulus,naulus,fw-la
and,and,cc
brother,brother,n1
of,of,acp-p
Palamedes,Palamedes,n1-nn
Pylades,Pylades,n1-nn
the,the,d
friend,friend,n1
of,of,acp-p
Orestes,Orestes,n1-nn
Orestes,Orestes,n1-nn
son,son,n1
to,to,acp-p
King,king,n1
Agamemnon,Agamemnon,n1-nn
and,and,cc
his,his,po
Queen,queen,n1
Clytaemnestra,Clytaemnestra,n1-nn
Electra,Electra,n1-nn
sister,sister,n1
to,to,acp-p
Orestes,Orestes,n1-nn
Hermione,Hermione,n1-nn
daughter,daughter,n1
to,to,acp-p
King,king,n1
Menelaus,Menelaus,n1-nn
and,and,cc
Q.,Q.,n-ab
Helen,Helen,n1-nn
Clytaemnestra,Clytaemnestra,n1-nn
wife,wife,n1
and,and,cc
Queen,queen,n1
to,to,acp-p
Agamemnon,Agamemnon,n1-nn
Aegisthus,Egistus,n1-nn
a,a,d
favourite,favourite,n1
to,to,acp-p
Queen,queen,n1
Clytaemnestra,Clytaemnestra,n1-nn
