standard,lemma,postag
EASTWARD,eastward,av
HOE,HOE,uh
As,as,acp-p
It,it,pn
was,be,vvd
played,play,vvn
in,in,acp-p
the,the,d
Blackfriars,Blackfriar,n2-nn
By,by,acp-p
The,the,d
Children,child,n2
of,of,acp-p
her,her,po
Majesty's,majesty,n1g
Revels,revel,n2
Made,make,vvn
by,by,acp-p
GEO,Geo,n1-nn
CHAPMAN,chapman,n1-nn
BEN,Ben,n1-nn
JONSON,Jonson,n1-nn
JON,Jon,n1-nn
MARSTON,Marston,n1-nn
AT,at,acp-p
LONDON,London,n1-nn
Printed,print,vvn
for,for,acp-p
William,William,n1-nn
Aspley,Aspley,n1-nn
1605,1605,crd
prologus,PROLOGUS,fw-la
NOt,not,xx
out,out,av
of,of,acp-p
Envy,envy,n1
for,for,acp-cs
there's,there|be,av|vvz
no,no,d-x
effect,effect,n1
Where,where,crq-cs
there's,there|be,av|vvz
no,no,d-x
cause,cause,n1
nor,nor,cc-x
out,out,av
of,of,acp-p
Imitation,imitation,n1
For,for,acp-cs
we,we,pns
have,have,vvb
evermore,evermore,av
been,be,vvn
Imitated,imitate,vvn
Nor,nor,cc-x
out,out,av
of,of,acp-p
our,our,po
contention,contention,n1
to,to,acp-cs
do,do,vvi
better,better,av-c_j
Than,than,cs
that,that,d
which,which,crq-r
is,be,vvz
opposed,oppose,vvn
to,to,acp-cs
ours,we,png
in,in,acp-p
Title,title,n1
For,for,acp-cs
that,that,d
was,be,vvd
good,good,j
and,and,cc
better,better,av-c_j
cannot,can,vmb-x
be,be,vvi
And,and,cc
for,for,acp-p
the,the,d
Title,title,n1
if,if,cs
it,it,pn
seem,seem,vvi
affected,affect,vvd
We,we,pns
might,may,vmd
as,as,acp-av
well,well,av
have,have,vvi
called,call,vvn
it,it,pn
God,God,n1-nn
you,you,pn
good,good,j
Even,even,av
Only,only,av_j
that,that,cs
Eastward,eastward,av
westwards,westward,n2
still,still,av
exceeds,exceed,vvz
Honour,honour,vvb
the,the,d
sun's,sun,n1g
fair,fair,j
rising,rise,n1_vg
not,not,xx
his,his,po
setting,set,n1_vg
Nor,nor,cc-x
is,be,vvz
our,our,po
Title,title,n1
utterly,utter,av_j
enforced,enforce,vvn
As,as,acp-cs
by,by,acp-p
the,the,d
points,point,n2
we,we,pns
touch,touch,vvb
at,at,acp-p
you,you,pn
shall,shall,vmb
see,see,vvi
Bear,bear,vvb
with,with,acp-p
our,our,po
willing,willing,j
pains,pain,n2
if,if,cs
dull,dull,j
or,or,cc
witty,witty,j
We,we,pns
only,only,av_j
dedicate,dedicate,vvb
it,it,pn
to,to,acp-p
the,the,d
City,city,n1
EASTWARD,eastward,av
HOE,HOE,uh
Actus,actus,fw-la
primi,primi,fw-la
Scaena,scaena,fw-la
prima,prima,fw-la
Enter,enter,vvb
Master,master,n1
Touchstone,Touch-stone,n1-nn
and,and,cc
Quicksilver,quicksilver,n1
at,at,acp-p
Several,several,j
doors,door,n2
Quicksilver,quicksilver,n1
with,with,acp-p
his,his,po
hat,hat,n1
pumps,pump,n2
short,short,j
sword,sword,n1
and,and,cc
dagger,dagger,n1
and,and,cc
a,a,d
Racket,racket,n1
trussed,truss,vvd
up,up,acp-av
under,under,acp-p
his,his,po
cloak,cloak,n1
At,at,acp-p
the,the,d
middle,middle,j
door,door,n1
Enter,enter,vvb
Golding,Golding,n1-nn
discovering,discover,vvg
a,a,d
goldsmith's,goldsmith,n1g
shop,shop,n1
and,and,cc
walking,walk,vvg
short,short,j
turns,turn,n2
before,before,acp-p
it,it,pn
Touchstone,touchstone,n1-nn
AND,and,cc
whether,whether,cs
with,with,acp-p
you,you,pn
now,now,av
what,what,crq-q
loose,loose,j
action,action,n1
are,be,vvb
you,you,pn
bound,bind,vvn
for,for,acp-p
come,come,vvb
what,what,crq-r
comrades,comrade,n2
are,be,vvb
you,you,pn
to,to,acp-cs
meet,meet,vvi
withal,withal,av
where's,where|be,crq-q|vvz
the,the,d
supper,supper,n1
where's,where|be,crq-q|vvz
the,the,d
supper,supper,n1
where's,where|be,crq-q|vvz
the,the,d
rendezvous,rendezvous,n1
Quick.,Quick.,n-ab
Indeed,Indeed,av
and,and,cc
in,in,acp-p
very,very,av
good,good,j
sober,sober,j
truth,truth,n1
Sir,sir,n1
Touch.,Touch.,n-ab
Indeed,Indeed,av
and,and,cc
in,in,acp-p
very,very,av
good,good,j
sober,sober,j
truth,truth,n1
Sir,sir,n1
Behind,behind,acp-p
my,my,po
back,back,n1
thou,thou,pns
wilt,will,vm2
swear,swear,vvi
faster,fast,av-c_j
than,than,cs
a,a,d
french,french,j-nn
foot,foot,n1
boy,boy,n1
and,and,cc
talk,talk,vvi
more,more,av-c_d
bawdily,bawdy,av_j
than,than,cs
a,a,d
common,common,j
midwife,midwife,n1
and,and,cc
now,now,av
indeed,indeed,av
and,and,cc
in,in,acp-p
very,very,av
good,good,j
sober,sober,j
truth,truth,n1
Sir,sir,n1
but,but,acp-cc
if,if,cs
a,a,d
privy,privy,j
search,search,n1
should,shall,vmd
be,be,vvi
made,make,vvn
with,with,acp-p
what,what,crq-r
furniture,furniture,n1
are,be,vvb
you,you,pn
rigged,rig,vvn
now,now,av
Sirrah,sirrah,n1
I,I,pns
tell,tell,vvb
thee,thou,pno
I,I,pns
am,be,vvm
thy,thy,po
master,master,n1
William,William,n1-nn
Tutchstone,tutchstone,n1-nn
Goldsmith,goldsmith,n1
and,and,cc
thou,thou,pns
my,my,po
Prentice,prentice,n1
Francis,Francis,n1-nn
Quicksilver,quicksilver,n1
and,and,cc
will,will,vmb
see,see,vvi
whether,whether,cs
you,you,pn
are,be,vvb
running,run,vvg
Work,work,vvb
upon,upon,acp-p
that,that,cs
now,now,av
Quick.,Quick.,n-ab
Why,why,crq-q
Sir,sir,n1
I,I,pns
hope,hope,vvb
a,a,d
man,man,n1
may,may,vmb
use,use,vvi
his,his,po
recreation,recreation,n1
with,with,acp-p
his,his,po
master's,master,n1g
profit,profit,n1
Touch.,Touch.,n-ab
Prentices,prentice,n2
recreations,recreation,n2
are,be,vvb
seldom,seldom,av
with,with,acp-p
their,their,po
master's,master,n1g
profit,profit,n1
Work,work,vvb
upon,upon,acp-p
that,that,cs
now,now,av
You,you,pn
shall,shall,vmb
give,give,vvi
up,up,acp-av
your,your,po
cloak,cloak,n1
though,though,cs
you,you,pn
