standard,lemma,postag
and,and,cc
Burgundy,Burgundy,n1-nn
Great,great,j
rivals,rival,n2
in,in,acp-p
our,our,po
youngest,young,j-s
daughter's,daughter,n1g
love,love,n1
Long,long,av_j
in,in,acp-p
our,our,po
court,court,n1
have,have,vvb
made,make,vvn
their,their,po
amorous,amorous,j
sojourn,sojourn,n1
And,and,cc
here,here,av
are,be,vvb
to,to,acp-cs
be,be,vvi
answered,answer,vvn
Tell,tell,vvb
me,i,pno
my,my,po
daughters,daughter,n2
Since,since,acp-cs
now,now,av
we,we,pns
will,will,vmb
divest,divest,vvi
us,we,pno
both,both,d
of,of,acp-p
rule,rule,n1
Interest,interest,n1
of,of,acp-p
territory,territory,n1
cares,care,n2
of,of,acp-p
state,state,n1
Which,which,crq-q
of,of,acp-p
you,you,pn
shall,shall,vmb
we,we,pns
say,say,vvi
doth,do,vvz
love,love,vvi
us,we,pno
most,most,av-s_d
That,that,cs
we,we,pns
our,our,po
largest,large,j-s
bounty,bounty,n1
may,may,vmb
extend,extend,vvi
Where,where,crq-cs
nature,nature,n1
doth,do,vvz
with,with,acp-p
merit,merit,n1
challenge,challenge,vvi
Goneril,Goneril,n1-nn
Our,our,po
eldest,eldest,j-s
born,bear,vvn
speak,speak,vvb
first,first,ord
GONERIL,,
Sir,sir,n1
I,i,pns
love,love,vvb
you,you,pn
more,more,av-c_d
than,than,cs
word,word,n2
can,can,vmb
wield,wield,vvi
the,the,d
matter,matter,n1
Dearer,dear,j-c
than,than,cs
eyesight,eyesight,n1
space,space,n1
and,and,cc
liberty,liberty,n1
Beyond,beyond,acp-p
what,what,crq-r
can,can,vmb
be,be,vvi
valued,value,vvn
rich,rich,j
or,or,cc
rare,rare,j
No,no,av-x_d
less,less,d-c
than,than,cs
life,life,n1
with,with,acp-p
grace,grace,n1
health,health,n1
beauty,beauty,n1
honor,honour,n1
As,as,acp-av
much,much,d
as,as,acp-cs
child,child,n1
e'er,ever,av
loved,love,vvd
or,or,cc
father,father,n1
found,find,vvd
A,a,d
love,love,n1
that,that,cs
makes,make,vvz
breath,breath,n1
poor,poor,j
and,and,cc
speech,speech,n1
unable,unable,j
Beyond,beyond,acp-p
all,all,d
manner,manner,n1
of,of,acp-p
so,so,av
much,much,d
I,i,pns
love,love,vvb
you,you,pn
CORDELIA,,
aside,,
What,what,crq-q
shall,shall,vmb
Cordelia,Cordelia,n1-nn
speak,speak,vvi
Love,love,vvb
and,and,cc
be,be,vvb
silent,silent,j
LEAR,,
pointing,,
to,,
the,,
map,,
Of,of,acp-p
all,all,d
these,these,d
bounds,bound,n2
even,even,av
from,from,acp-p
this,this,d
line,line,n1
to,to,acp-p
this,this,d
With,with,acp-p
shadowy,shadowy,j
forests,forest,n1
and,and,cc
with,with,acp-p
champains,champain,n2
riched,rich,vvn
With,with,acp-p
plenteous,plenteous,j
rivers,river,n2
and,and,cc
wide-skirted,wide-skirted,j
meads,mead,n2
We,we,pns
make,make,vvb
thee,thou,pno
lady,lady,n1
To,to,acp-p
thine,thy,po
and,and,cc
Albany's,Albany,n1g-nn
issue,issue,n1
Be,be,vvb
this,this,d
